method,reps,ref_mse,current_mse,augmented_mse,current_gain,augmented_gain,augmented_gain_ci_low,augmented_gain_ci_high,augmented_minus_current_gain,augmented_minus_current_gain_ci_low,augmented_minus_current_gain_ci_high,current_activation,augmented_activation,gamma_change_rate,selected_075_rate,current_harm_rate,augmented_harm_rate,significance_class
aipw,2304,13.140365955068683,9.786291895247798,9.693822683604937,0.25524966894297985,0.2622867036769473,0.19376822417522682,0.3257742376617528,0.00703703473396744,-0.005578592674702093,0.020700232191565172,0.2738715277777778,0.2738715277777778,0.07682291666666667,0.07682291666666667,0.10069444444444445,0.10199652777777778,win
ctmle,2304,2.7228057604301115,2.4604015021862096,2.447668004546826,0.09637274243258942,0.10104935132788273,0.07555364110284508,0.12789989699823684,0.0046766088952933105,-0.0015267811291098192,0.010667519433338345,0.265625,0.265625,0.11284722222222222,0.11284722222222222,0.08506944444444445,0.0842013888888889,win
cui_selective_ml,2304,2.1478789202038886,1.7811664577372983,1.7940957865752287,0.17073237183769185,0.16471279190871557,0.10142073522484098,0.2269595147566229,-0.006019579928976282,-0.015187359552614962,0.0025578401349101183,0.3524305555555556,0.3524305555555556,0.07335069444444445,0.07335069444444445,0.1449652777777778,0.14583333333333334,win
ma_dr_bc,2304,10.495199503845802,9.136010099508772,9.068345856180581,0.1295058187163547,0.13595297994500932,0.07576708341905165,0.19555270815065487,0.00644716122865463,-0.008676555444528786,0.0209284509056056,0.2738715277777778,0.2738715277777778,0.07682291666666667,0.07682291666666667,0.1015625,0.10069444444444445,win
tmle,2304,2.237820957816956,2.7160899438218156,2.7168013425940876,-0.213720844973863,-0.2140387429584123,-0.3328770831837981,-0.10896293180188901,-0.00031789798454928686,-0.027811158541735524,0.028467919561088965,0.24739583333333334,0.24739583333333334,0.0685763888888889,0.0685763888888889,0.12977430555555555,0.1310763888888889,loss
