dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,augmented_mse,current_gain,augmented_gain,augmented_gain_ci_low,augmented_gain_ci_high,augmented_minus_current_gain,augmented_minus_current_gain_ci_low,augmented_minus_current_gain_ci_high,current_activation,augmented_activation,gamma_change_rate,selected_075_rate,current_harm_rate,augmented_harm_rate,significance_class
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,tmle,3000,3.0,96,0.0018527137182205965,0.0018808162379504898,0.0018808162379504898,-0.015168301207854062,-0.015168301207854062,nan,nan,0.0,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,aipw,3000,0.0,96,0.004664962367770018,0.004433499543851026,0.004433499543851026,0.04961729713366103,0.04961729713366103,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,ctmle,3000,0.0,96,0.001049465555739584,0.001049465555739584,0.001049465555739584,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,cui_selective_ml,3000,0.0,96,0.0009343042609014662,0.0009195466079066623,0.0009195466079066623,0.015795339497397642,0.015795339497397642,nan,nan,0.0,nan,nan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.052083333333333336,0.052083333333333336,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,ma_dr_bc,3000,0.0,96,0.013928517166100947,0.013663070479197579,0.013663070479197579,0.019057785099293234,0.019057785099293234,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,tmle,3000,0.0,96,0.0016636192462543312,0.001593686302970366,0.001593686302970366,0.042036627937204085,0.042036627937204085,nan,nan,0.0,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.0,0.020833333333333332,0.020833333333333332,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,aipw,3000,3.0,96,0.005073495747493794,0.0049684367378346,0.0049684367378346,0.020707420462723558,0.020707420462723558,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.052083333333333336,0.052083333333333336,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,ctmle,3000,3.0,96,0.01270774975276461,0.01270774975276461,0.01270774975276461,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,cui_selective_ml,3000,3.0,96,0.011846873433469641,0.011622247902072677,0.011627085279781492,0.018960743748840492,0.01855241848597844,nan,nan,-0.0004083252628620526,nan,nan,0.2916666666666667,0.2916666666666667,0.010416666666666666,0.010416666666666666,0.07291666666666667,0.07291666666666667,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,ma_dr_bc,3000,3.0,96,0.025150349693341956,0.024851782392892558,0.024851782392892558,0.011871298176360456,0.011871298176360456,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,tmle,3000,3.0,96,0.007929361986641658,0.007823727807703549,0.007823727807703549,0.013321901448826279,0.013321901448826279,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.010416666666666666,0.010416666666666666,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,aipw,3000,0.0,96,0.004611308330142908,0.0046329806232791385,0.0046329806232791385,-0.004699814366036614,-0.004699814366036614,nan,nan,0.0,nan,nan,0.08333333333333333,0.08333333333333333,0.0,0.0,0.020833333333333332,0.020833333333333332,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,ctmle,3000,0.0,96,0.001104223530579829,0.001104223530579829,0.001104223530579829,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,cui_selective_ml,3000,0.0,96,0.0010566194219874664,0.0010795449732209485,0.0010795449732209485,-0.02169707536736354,-0.02169707536736354,nan,nan,0.0,nan,nan,0.14583333333333334,0.14583333333333334,0.0,0.0,0.08333333333333333,0.08333333333333333,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,ma_dr_bc,3000,0.0,96,0.00943291156974319,0.009486112635980752,0.009486112635980752,-0.005639941161773132,-0.005639941161773132,nan,nan,0.0,nan,nan,0.08333333333333333,0.08333333333333333,0.0,0.0,0.052083333333333336,0.052083333333333336,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,tmle,3000,0.0,96,0.0015911419719730879,0.0015868144210699831,0.0015868144210699831,0.0027197767259815597,0.0027197767259815597,nan,nan,0.0,nan,nan,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,aipw,3000,3.0,96,0.005836152067653127,0.005793594367667261,0.005793594367667261,0.007292082093223962,0.007292082093223962,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.0625,0.0625,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,ctmle,3000,3.0,96,0.0013163998202661723,0.0013163998202661723,0.0013163998202661723,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,cui_selective_ml,3000,3.0,96,0.0012842365844964337,0.001285631285539559,0.0012867409225722896,-0.0010860156609477922,-0.0019500597522985608,nan,nan,-0.0008640440913507685,nan,nan,0.4375,0.4375,0.020833333333333332,0.020833333333333332,0.22916666666666666,0.22916666666666666,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,ma_dr_bc,3000,3.0,96,0.011487271463651035,0.01164778104290682,0.01164778104290682,-0.013972820244013917,-0.013972820244013917,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.0625,0.0625,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,tmle,3000,3.0,96,0.001991594628863636,0.002007457141388337,0.002007457141388337,-0.007964729516142688,-0.007964729516142688,nan,nan,0.0,nan,nan,0.09375,0.09375,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,aipw,3000,0.0,96,0.003665405720013353,0.0036144928393361344,0.0036144928393361344,0.013890107826053377,0.013890107826053377,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,ctmle,3000,0.0,96,0.0007650311342005037,0.0007650311342005037,0.0007650311342005037,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
