method,family,cells,reps_per_cell_min,reps_per_cell_max,equal_cell_relative_mse_reduction,ci_lo,ci_hi
ctmle,d0_null,1,96,96,-0.026782541029077622,-0.095580800092603571,0
ctmle,d0_signal,3,96,96,0.013033987486735787,0.0055128666377434396,0.022497575943633163
cui_selective_ml,d0_null,1,96,96,-0.00071540131816849595,-0.0026054300652112393,0
cui_selective_ml,d0_signal,3,96,96,0.00036647749825613474,-0.00086156728829527116,0.0022114262976151303
