dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,96,0.0046879204507257145,0.004722702687380207,0.004724009961883216,-0.007419544981636328,-0.007698405196255864,nan,nan,-0.00027886021461953625,nan,nan,0.0625,0.052083333333333336,0.010416666666666666,0.03125,0.03125,20.223298277044183,20.149148547347007,20.15383781709054,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,96,0.0011400337706658095,0.0011400337706658095,0.0011400337706658095,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6150862577581089,0.6150862577581089,0.6150862577581089,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,cui_selective_ml,3000,0.0,96,0.001156901809422921,0.0011526964705293843,0.0011611011732909056,0.0036350007055778732,-0.0036298360273800956,nan,nan,-0.007264836732957969,nan,nan,0.16666666666666666,0.21875,0.09375,0.07291666666666667,0.13541666666666666,1.5304591504313523,1.5001390125340655,1.499148708235354,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ma_dr_bc,3000,0.0,96,0.007966825088432996,0.007951327598933163,0.007959599059297216,0.0019452528865399055,0.0009070149093985957,nan,nan,-0.0010382379771413097,nan,nan,0.03125,0.052083333333333336,0.052083333333333336,0.0,0.010416666666666666,20.223298277044183,20.218051614476707,20.15383781709054,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,tmle,3000,0.0,96,0.001831759214887623,0.0018178173938064649,0.0018178173971609088,0.007611164703224094,0.007611162871955068,nan,nan,-1.831269025309723e-09,nan,nan,0.0625,0.0625,0.0,0.041666666666666664,0.041666666666666664,20.0730675417354,19.992610493801994,19.992610493801994,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,aipw,3000,3.0,96,0.008370831676548241,0.00826787806220432,0.008214401742624484,0.012299090260333156,0.018687502027070035,nan,nan,0.006388411766736879,nan,nan,0.13541666666666666,0.14583333333333334,0.03125,0.0625,0.0625,22.036865193373043,21.9036071690976,21.89888184590882,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,ctmle,3000,3.0,96,0.014719192833745808,0.014719192833745808,0.014706319773385953,0.0,0.0008745765141646711,nan,nan,0.0008745765141646711,nan,nan,0.0,0.020833333333333332,0.020833333333333332,0.0,0.010416666666666666,0.6333726842968118,0.6333726842968118,0.6328658776522242,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,cui_selective_ml,3000,3.0,96,0.01288183805550961,0.012827731771335645,0.012718523126945838,0.0042001990663765865,0.012677921260927705,nan,nan,0.008477722194551118,nan,nan,0.19791666666666666,0.23958333333333334,0.09375,0.041666666666666664,0.03125,2.924376365357794,2.8417548505104353,2.8400760761843706,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,ma_dr_bc,3000,3.0,96,0.03431678974700542,0.034210905853206505,0.03416874396550804,0.0030854836533232843,0.004314091807212206,nan,nan,0.0012286081538889215,nan,nan,0.11458333333333333,0.14583333333333334,0.16666666666666666,0.041666666666666664,0.041666666666666664,22.036865193373043,21.987018430624797,21.89888184590882,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,tmle,3000,3.0,96,0.00999844288340713,0.010044092544492567,0.010044631292649509,-0.004565677037690952,-0.004619560243628529,nan,nan,-5.388320593757712e-05,nan,nan,0.0625,0.0625,0.0,0.03125,0.03125,21.27888729632194,21.187815039461466,21.187815039461466,crosses_zero
