dataset,method,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
ACIC 2016,aipw,384,0.005814973099769235,0.0057752283594101434,0.005760255804294924,0.006834896684331793,0.009409724608439252,nan,nan,0.002574827924107459,nan,nan,0.0859375,0.08854166666666667,0.013020833333333334,0.0390625,0.0390625,20.48887758816596,20.395285053878563,20.393966311555996,crosses_zero
ACIC 2016,ctmle,384,0.004524202624720051,0.004524202624720051,0.0045209843596300875,0.0,0.0007113441542999643,nan,nan,0.0007113441542999643,nan,nan,0.0,0.005208333333333333,0.005208333333333333,0.0,0.0026041666666666665,0.6246664515902772,0.6246664515902772,0.6245397499291303,crosses_zero
ACIC 2016,cui_selective_ml,384,0.0040312403740951795,0.00401777786375122,0.003993125690821703,0.003339545423902246,0.009454827729549975,nan,nan,0.006115282305647729,nan,nan,0.24479166666666666,0.2734375,0.09375,0.11979166666666667,0.13802083333333334,1.755841620623609,1.715463150508124,1.7147097656764452,crosses_zero
ACIC 2016,ma_dr_bc,384,0.015787916971935077,0.01571506512389593,0.015685557871538493,0.004614405318234871,0.006483382233295143,nan,nan,0.001868976915060272,nan,nan,0.09635416666666667,0.08854166666666667,0.13020833333333334,0.033854166666666664,0.033854166666666664,20.48887758816596,20.46800513225255,20.393966311555996,crosses_zero
ACIC 2016,tmle,384,0.0038161074334450637,0.0038338518854550076,0.0038339865753102263,-0.004649882719345966,-0.004685177809321317,nan,nan,-3.5295089975351246e-05,nan,nan,0.0625,0.0625,0.0,0.0390625,0.0390625,20.18579016582657,20.111379451359706,20.111379451359706,crosses_zero
ACIC 2017,aipw,384,0.005046479628264962,0.00495621428316916,0.004957127818158006,0.01788679470540866,0.01770577049523847,nan,nan,-0.00018102421017018866,nan,nan,0.0859375,0.09375,0.0078125,0.028645833333333332,0.033854166666666664,20.84117067670907,20.728740927592167,20.7258927113279,crosses_zero
ACIC 2017,ctmle,384,0.004044459664837549,0.004044459664837549,0.004044459664837549,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6337103003189055,0.6337103003189055,0.6337103003189055,crosses_zero
ACIC 2017,cui_selective_ml,384,0.003780508425213752,0.003765058359946644,0.003726742692184962,0.004086769166830817,0.014221826003667726,nan,nan,0.010135056836836909,nan,nan,0.19791666666666666,0.2604166666666667,0.10416666666666667,0.08072916666666667,0.109375,1.8085453703936967,1.7631532157474272,1.7606987937036227,crosses_zero
ACIC 2017,ma_dr_bc,384,0.014999762473209282,0.014937159308957783,0.014912186637744428,0.00417361037305175,0.005838481484041647,nan,nan,0.0016648711109898962,nan,nan,0.078125,0.09375,0.12760416666666666,0.036458333333333336,0.044270833333333336,20.84117067670907,20.804340390099778,20.7258927113279,crosses_zero
ACIC 2017,tmle,384,0.0032939294584331783,0.003254122657443247,0.0032529214182830586,0.012084897837753461,0.01244958055951384,nan,nan,0.00036468272176037875,nan,nan,0.0703125,0.06770833333333333,0.0026041666666666665,0.020833333333333332,0.018229166666666668,20.57876215822094,20.488695984266503,20.490737380202024,crosses_zero
IHDP,aipw,384,0.0038845977052279616,0.003743288535092593,0.003737435525433159,0.036376783610099994,0.0378835058252619,nan,nan,0.0015067222151619042,nan,nan,0.13541666666666666,0.15104166666666666,0.015625,0.0390625,0.046875,12.409646969593807,12.262056556254558,12.255420876240661,crosses_zero
IHDP,ctmle,384,0.0038118062235042573,0.0038118062235042573,0.0038118062235042573,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8264864511480327,0.8264864511480327,0.8264864511480327,crosses_zero
IHDP,cui_selective_ml,384,0.004500250778252562,0.004480867185625097,0.0044759395559262,0.0043072249931350726,0.005402192794198513,nan,nan,0.00109496780106344,nan,nan,0.041666666666666664,0.046875,0.010416666666666666,0.018229166666666668,0.020833333333333332,1.11020771954071,1.1073449601397323,1.1062050029682424,crosses_zero
IHDP,ma_dr_bc,384,0.013224335525527556,0.013007931271529861,0.012781861376177532,0.016364092818120013,0.03345908370941553,nan,nan,0.017094990891295514,nan,nan,0.11197916666666667,0.15104166666666666,0.1640625,0.046875,0.057291666666666664,12.409646969593807,12.364566126617971,12.255420876240661,crosses_zero
IHDP,tmle,384,0.002728142693305145,0.002652360674015001,0.002642150464355123,0.027777879608758327,0.031520429323966925,nan,nan,0.0037425497152085985,nan,nan,0.11197916666666667,0.13802083333333334,0.028645833333333332,0.041666666666666664,0.046875,12.036376956457678,11.91929666573243,11.907764285766001,crosses_zero
Kang-Schafer,aipw,768,39.41190360268754,29.432309903991356,29.34983332444519,0.25321267907535583,0.2553053610319955,nan,nan,0.002092681956639697,nan,nan,0.6653645833333334,0.6432291666666666,0.13932291666666666,0.2604166666666667,0.23697916666666666,14433.601516051081,12313.728435788355,12341.092241873344,crosses_zero
Kang-Schafer,ctmle,768,8.160419211359553,8.13614063726103,7.373208045760393,0.0029751626074216997,0.09646700067851155,nan,nan,0.09349183807108985,nan,nan,0.015625,0.7942708333333334,0.7916666666666666,0.009114583333333334,0.25390625,199.40394318950686,198.75409518173709,172.68864955372172,crosses_zero
Kang-Schafer,cui_selective_ml,768,6.433616892014606,5.377767013901626,5.334175499619669,0.16411450912215475,0.17089009352726015,nan,nan,0.006775584405105395,nan,nan,0.515625,0.4830729166666667,0.22786458333333334,0.1875,0.18880208333333334,896.2382018510267,523.3852885907778,517.0322542315544,crosses_zero
Kang-Schafer,ma_dr_bc,768,31.454083030420282,27.80308807705627,27.376840266459222,0.116073800334062,0.12962523053105135,nan,nan,0.013551430196989345,nan,nan,0.515625,0.6432291666666666,0.56640625,0.17838541666666666,0.23307291666666666,14433.601516051081,13460.180980719082,12341.092241873344,crosses_zero
Kang-Schafer,tmle,768,6.70700976653455,8.383875312623369,8.141866885435547,-0.25001686361867925,-0.21393395400441984,nan,nan,0.03608290961425942,nan,nan,0.6119791666666666,0.5989583333333334,0.125,0.34765625,0.33203125,13137.377653065902,11544.294591202679,11548.99084957061,crosses_zero
Twins,aipw,384,0.003642474603758659,0.003629388053276107,0.0036299034485223116,0.0035927636857229217,0.003451267779156386,nan,nan,-0.00014149590656653555,nan,nan,0.0234375,0.0234375,0.0026041666666666665,0.010416666666666666,0.010416666666666666,15.736893219325156,15.705416260474982,15.705104207074323,crosses_zero
Twins,ctmle,384,0.003615671348499954,0.003615671348499954,0.003615671348499954,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.7793870689408111,0.7793870689408111,0.7793870689408111,crosses_zero
Twins,cui_selective_ml,384,0.007727737616558508,0.006838924598816079,0.0064519392455177705,0.11501594151410333,0.1650933862333832,nan,nan,0.050077444719279884,nan,nan,0.4453125,0.5677083333333334,0.23958333333333334,0.16145833333333334,0.22395833333333334,7.721912122039295,7.303223778763425,7.293662530820511,crosses_zero
Twins,ma_dr_bc,384,0.019018947263564408,0.019033529362740047,0.019000458248722846,-0.0007667143177569891,0.0009721366059509684,nan,nan,0.0017388509237079575,nan,nan,0.020833333333333332,0.0234375,0.0390625,0.013020833333333334,0.0078125,15.736893219325156,15.73666201303196,15.705104207074323,crosses_zero
Twins,tmle,384,0.0030680342474549947,0.0030807604709639845,0.0030768336018520185,-0.004148005687859113,-0.0028680756755967707,nan,nan,0.0012799300122623425,nan,nan,0.015625,0.018229166666666668,0.0026041666666666665,0.010416666666666666,0.010416666666666666,15.302398887434608,15.27804796514454,15.276397609962663,crosses_zero
