source,dataset,setting,group,design,method,n,strength,seed0,rep,ref_error,current_error,current_gamma,current_replay_error,residual_error,residual_gamma,base_residual_loss,current_residual_loss,selected_residual_loss,eligible_count,gamma_changed,grid
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,1,-0.041100134500800904,-0.041100134500800904,0.0,-0.041100134500800904,-0.041100134500800904,0.0,23.845801318345682,23.845801318345682,23.845801318345682,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,2,-0.08923333021253863,-0.08923333021253863,0.0,-0.08923333021253863,-0.08923333021253863,0.0,19.106257757547795,19.106257757547795,19.106257757547795,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,3,-0.06652830330661441,-0.06652830330661441,0.0,-0.06652830330661441,-0.06652830330661441,0.0,22.181624705994654,22.181624705994654,22.181624705994654,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,4,-0.07671983825937154,-0.07671983825937154,0.0,-0.07671983825937154,-0.07671983825937154,0.0,28.057814508697117,28.057814508697117,28.057814508697117,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,1,0.1141884374339613,0.1141884374339613,0.0,0.1141884374339613,0.1141884374339613,0.0,30.029922183225576,30.029922183225576,30.029922183225576,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,2,0.005507371645105408,0.005507371645105408,0.0,0.005507371645105408,0.005507371645105408,0.0,20.699323822356536,20.699323822356536,20.699323822356536,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,3,-0.0055316667033432935,-0.0055316667033432935,0.0,-0.0055316667033432935,-0.0055316667033432935,0.0,16.000353603200715,16.000353603200715,16.000353603200715,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,4,0.01610384167628049,0.01610384167628049,0.0,0.01610384167628049,0.01610384167628049,0.0,13.87991078157372,13.87991078157372,13.87991078157372,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,1,-0.011695989839561431,-0.011695989839561431,0.0,-0.011695989839561431,-0.011695989839561431,0.0,18.930405241037974,18.930405241037974,18.930405241037974,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,2,0.026619836520756876,0.026619836520756876,0.0,0.026619836520756876,0.026619836520756876,0.0,19.40135727973985,19.40135727973985,19.40135727973985,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,3,0.0328084677282055,0.0328084677282055,0.0,0.0328084677282055,0.0328084677282055,0.0,20.925196389081318,20.925196389081318,20.925196389081318,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,4,0.03718198136519948,0.03718198136519948,0.0,0.03718198136519948,0.03718198136519948,0.0,16.027027161110503,16.027027161110503,16.027027161110503,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,1,0.017933643456512636,0.01273578786127227,0.25,0.012735787711789197,0.012735787711789197,0.25,23.16773893196275,22.415511509758748,22.415511509758748,2,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,2,-0.03486824387481283,-0.03486824387481283,0.0,-0.03486824387481283,-0.03486824387481283,0.0,22.968135687789438,22.968135687789438,22.968135687789438,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,3,-0.09074214912219039,-0.09074214912219039,0.0,-0.09074214912219039,-0.09074214912219039,0.0,21.203368857942568,21.203368857942568,21.203368857942568,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,4,-0.026741043227554873,-0.026741043227554873,0.0,-0.026741043227554873,-0.026741043227554873,0.0,28.864161303454605,28.864161303454605,28.864161303454605,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,1,-0.04669459112686181,-0.04669459112686181,0.0,-0.04669459112686181,-0.04669459112686181,0.0,23.761098751076307,23.761098751076307,23.761098751076307,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,2,-0.04553892046756753,-0.04553892046756753,0.0,-0.04553892046756753,-0.04553892046756753,0.0,16.033075871468096,16.033075871468096,16.033075871468096,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,3,0.021529350009110288,0.021529350009110288,0.0,0.021529350009110288,0.021529350009110288,0.0,22.761282997739904,22.761282997739904,22.761282997739904,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,4,0.04874004019492042,0.04874004019492042,0.0,0.04874004019492042,0.04874004019492042,0.0,23.86725968126471,23.86725968126471,23.86725968126471,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,1,0.020511389210679857,0.020511389210679857,0.0,0.020511389210679857,0.020511389210679857,0.0,20.669785560204225,20.669785560204225,20.669785560204225,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,2,0.025740441623149746,0.025740441623149746,0.0,0.025740441623149746,0.025740441623149746,0.0,13.028328307672023,13.028328307672023,13.028328307672023,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,3,-0.0466749748720421,-0.0466749748720421,0.0,-0.0466749748720421,-0.0466749748720421,0.0,23.52471029695595,23.52471029695595,23.52471029695595,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,4,-0.09820555168756602,-0.09820555168756602,0.0,-0.09820555168756602,-0.09820555168756602,0.0,15.00498490461276,15.00498490461276,15.00498490461276,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,1,0.02587474852234648,0.02587474852234648,0.0,0.02587474852234648,0.02587474852234648,0.0,21.509981384174917,21.509981384174917,21.509981384174917,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,2,-0.10543286999922892,-0.10543286999922892,0.0,-0.10543286999922892,-0.10543286999922892,0.0,23.740546789246128,23.740546789246128,23.740546789246128,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,3,0.009400763288055461,0.009400763288055461,0.0,0.009400763288055461,0.009400763288055461,0.0,20.54179846001826,20.54179846001826,20.54179846001826,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,4,-0.09481421966050782,-0.09481421966050782,0.0,-0.09481421966050782,-0.09481421966050782,0.0,19.38516483718438,19.38516483718438,19.38516483718438,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,1,-0.08636698757015626,-0.08636698757015626,0.0,-0.08636698757015626,-0.08636698757015626,0.0,22.68237018497148,22.68237018497148,22.68237018497148,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,2,-0.06637161994865415,-0.06637161994865415,0.0,-0.06637161994865415,-0.06637161994865415,0.0,24.32505318335676,24.32505318335676,24.32505318335676,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,3,0.01913150760066417,0.01913150760066417,0.0,0.01913150760066417,0.01913150760066417,0.0,19.87876529380031,19.87876529380031,19.87876529380031,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,4,0.03418163237573875,0.03418163237573875,0.0,0.03418163237573875,0.03418163237573875,0.0,14.901820801310087,14.901820801310087,14.901820801310087,1,False,0|0.25|0.5|1
