method,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
aipw,2304,13.140365955068683,9.813787321202277,9.786291895247798,0.2531572290483457,0.25524966894297985,0.1877622618883553,0.3206096827843913,0.002092439894634146,-0.0030556444800001995,0.007851200544908822,0.2769097222222222,0.2738715277777778,0.05295138888888889,0.10633680555555555,0.10069444444444445,4822.779936759326,4116.091395062485,4125.210811308814,win
ctmle,2304,2.7228057604301115,2.714712902397271,2.4604015021862096,0.002972249490012069,0.09637274243258942,0.07210661831537399,0.1214923254633982,0.09340049294257735,0.06681992475692781,0.121388793687692,0.005208333333333333,0.265625,0.2647569444444444,0.0030381944444444445,0.08506944444444445,66.94535610850195,66.72874010591204,58.04023711296338,win
cui_selective_ml,2304,2.1478789202038886,1.7957727759685653,1.7811664577372983,0.1639320265789933,0.17073237183769185,0.10585423161805665,0.23481626521003618,0.006800345258698548,-0.008625992832761342,0.022407900119774133,0.3268229166666667,0.3524305555555556,0.1506076388888889,0.12586805555555555,0.1449652777777778,300.8121517557751,176.4432937144524,174.32329742604625,win
ma_dr_bc,2304,10.495199503845802,9.27814497319661,9.136010099508772,0.11596297242403264,0.1295058187163547,0.06637032231203777,0.1897881790887567,0.013542846292322053,-0.04351834805566909,0.07482657488853806,0.2230902777777778,0.2738715277777778,0.265625,0.08116319444444445,0.1015625,4822.779936759326,4498.289255850028,4125.210811308814,win
tmle,2304,2.237820957816956,2.796761953489103,2.7160899438218156,-0.24977020333986233,-0.213720844973863,-0.3408641634151795,-0.10534327589029426,0.03604935836599932,0.0113726084813368,0.06753039102016341,0.24739583333333334,0.24739583333333334,0.047309027777777776,0.1345486111111111,0.12977430555555555,4390.476439049958,3859.397767078644,3860.9613296447515,loss
