scenario,n,reps,bbar,rho2,response_cost_scale,fresh_risk_violations,same_sample_over_rhs_count,mean_fresh_risk,mean_same_sample_sq_error,mean_theorem_rhs,same_over_fresh_ratio,mean_regret,median_regret,p90_regret,max_regret,mean_bound,max_bound,selected_share_gamma_0,selected_share_gamma_0.25,selected_share_gamma_0.5,selected_share_gamma_1
correct_clear,500,6000,0.0,0.0,0.0,0,1582,0.007410158983702035,0.007448671599781651,0.009496168894105931,1.0051972725773255,0.0,0.0,0.0,0.0,0.0020860099104038957,0.008300881433823142,0.0,0.0,0.0,1.0
correct_clear,2000,3000,0.0,0.0,0.0,0,866,0.0018525397459255087,0.0018286314667296738,0.0021106462634599642,0.9870943232130814,0.0,0.0,0.0,0.0,0.00025810651753445526,0.000935177784046352,0.0,0.0,0.0,1.0
correct_clear,8000,1000,0.0,0.0,0.0,0,315,0.0004631349364813772,0.00046765121250937037,0.0004966065224215488,1.0097515338883851,0.0,0.0,0.0,0.0,3.3471585940171564e-05,0.00010233629541085456,0.0,0.0,0.0,1.0
correct_near_tie,500,6000,0.0,0.0,0.0,0,1872,0.009830153841353639,0.010066136730342096,0.01039240363322214,1.0240060219602791,8.961863890559753e-06,1.3368864437077188e-06,1.3368864437077188e-06,0.00020512271379229813,0.0005712116557590598,0.002016402874910429,0.824,0.07716666666666666,0.07233333333333333,0.0265
correct_near_tie,2000,3000,0.0,0.0,0.0,0,949,0.0024560550688905126,0.0024109279393667157,0.0025269585821182964,0.9816261735759115,7.570745247429296e-07,3.342216109269297e-07,3.342216109269297e-07,8.37966893588258e-06,7.166058775252649e-05,0.00022560323621630335,0.811,0.131,0.058,0.0
correct_near_tie,8000,1000,0.0,0.0,0.0,0,300,0.0006138982065209831,0.00056163476801269,0.000622714649734827,0.9148662792086089,7.370792954074266e-08,8.355540273173243e-08,8.355540273173243e-08,2.094917233970645e-06,8.890151143384629e-06,2.4885959743746752e-05,0.832,0.166,0.002,0.0
misspecified_tradeoff,500,6000,4.913042372422228,0.024171039967096856,0.03916388688660357,0,306,0.0075517588335867105,0.007583058620682513,0.028708074311538354,1.0041447016232292,2.8675523730236104e-06,0.0,0.0,0.0015393039942316897,0.021159183030324668,0.06279611385111875,0.0003333333333333333,0.0005,0.0031666666666666666,0.996
misspecified_tradeoff,2000,3000,4.913042372422228,0.024171039967096856,0.03916388688660357,0,151,0.001901504017257126,0.0019020222776788788,0.006993168440018765,1.0002725528934198,0.0,0.0,0.0,0.0,0.005091664422761639,0.005579835214134217,0.0,0.0,0.0,1.0
misspecified_tradeoff,8000,1000,4.913042372422228,0.024171039967096856,0.03916388688660357,0,64,0.000489657201267986,0.00045695788279862264,0.0017402466611228524,0.9332199784161507,0.0,0.0,0.0,0.0,0.0012505894598548663,0.0012995701600848285,0.0,0.0,0.0,1.0
