scenario,n_total,folds,reps,baseline_mse,selected_mse,same_sample_mse_gain_pct,baseline_fresh_risk,selected_fresh_risk,fresh_risk_gain_pct,oracle_fresh_risk,oracle_fresh_risk_gain_pct,mean_selection_regret,mean_same_sample_penalty,median_same_sample_penalty,p90_abs_same_sample_penalty,same_sample_penalty_over_selected_risk,fresh_harm_share,same_sample_harm_share,selected_share_gamma_0,selected_share_gamma_0.25,selected_share_gamma_0.5,selected_share_gamma_1,oracle_share_gamma_0,oracle_share_gamma_0.25,oracle_share_gamma_0.5,oracle_share_gamma_1
correct_response_clear,2000,3,4000,0.0027051050638076165,0.0017022728888293369,37.0718382955051,0.0026311281169969247,0.0017543840796843833,33.32198199125421,0.0017543393949294801,33.323680302887716,4.468475490310289e-08,-5.21111908550464e-05,-0.0009647580811646483,0.002917552872437946,-0.029703410706064595,0.0,0.37625,0.0,0.0,0.00025,0.99975,0.0,0.0,0.00025,0.99975
correct_response_clear,8000,3,1500,0.0006874275219945919,0.0004529937242285106,34.103056724564134,0.0006554360623014677,0.0004355743037997799,33.54434873932256,0.0004355743037997799,33.54434873932256,0.0,1.741942042873077e-05,-0.00021352114833104717,0.0008026557578589167,0.03999184588431998,0.0,0.38666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
correct_response_clear,32000,3,400,0.00017149227265484716,0.00011364774633655384,33.73010656562569,0.0001637388884287311,0.00010872090927582356,33.60104595851989,0.00010872090927582356,33.60104595851989,0.0,4.926837060730286e-06,-5.2852493310935194e-05,0.00019291038944135722,0.04531637100487233,0.0,0.3775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
correct_response_near_tie,2000,3,4000,0.0016261738125165565,0.0016311867465359908,-0.3082655728957156,0.001599194938629174,0.0015934661838998192,0.3582274174945431,0.001586575314810161,0.7891235467409874,6.890869089658058e-06,3.77205626361718e-05,-0.0008618875675138699,0.0029046974962244343,0.023672019536589855,0.0605,0.28475,0.4445,0.10675,0.26075,0.188,0.04175,0.07675,0.49775,0.38375
correct_response_near_tie,8000,3,1500,0.0004053869349970223,0.0004019830655692255,0.8396593806906388,0.0003987333117980639,0.00039521099772222754,0.883375923609866,0.0003948153814796019,0.9825941807556373,3.956162426256879e-07,6.772067846997975e-06,-0.00022699296818026442,0.0007109792326804154,0.0171353223620505,0.002,0.472,0.029333333333333333,0.027333333333333334,0.17,0.7733333333333333,0.0,0.0,0.182,0.818
correct_response_near_tie,32000,3,400,0.0001055781482441807,0.00010544171741145072,0.12922260429728544,9.960465404488802e-05,9.85579808334687e-05,1.0508276158939627,9.85571517306895e-05,1.0516600095076474,8.291027791978672e-10,6.883736577982033e-06,-5.21004330536329e-05,0.00019217394137587072,0.06984453739584352,0.0,0.4925,0.0,0.0,0.0,1.0,0.0,0.0,0.0125,0.9875
misspecified_response_tradeoff,2000,3,4000,0.002548349122291475,0.0017883714220019115,29.82235415240874,0.0028875799979794104,0.001907311467237782,33.94775318528225,0.0019073096363192892,33.94781659195822,1.830918492842521e-09,-0.00011894004523587029,-0.0010558870460520725,0.0028076319129807905,-0.062360053551254714,0.0,0.40075,0.0,0.0,0.0,1.0,0.0,0.0,0.00025,0.99975
misspecified_response_tradeoff,8000,3,1500,0.00067794652328517,0.0004616235496819711,31.908560066795307,0.0007594129008071318,0.000473638080751711,37.63101993022358,0.000473638080751711,37.63101993022358,0.0,-1.2014531069739897e-05,-0.00027969367103784304,0.0007322483343135194,-0.025366480352828968,0.0,0.39266666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
misspecified_response_tradeoff,32000,3,400,0.00021934020349473546,0.0001113675139587446,49.226128094926466,0.00023002120553803615,0.00011823619347736404,48.59769854661831,0.00011823619347736404,48.59769854661831,0.0,-6.868679518619456e-06,-5.81958690189198e-05,0.0001789756731357636,-0.058092867476611076,0.0,0.3725,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
clipped_response_tail,2000,3,4000,0.011110152294349324,0.0014702404198635249,86.76669427284722,0.01068562081021059,0.0013033294473054542,87.80295997346205,0.0013033294473054542,87.80295997346205,0.0,0.00016691097255807055,-0.0006450421767911508,0.0025714415424169784,0.1280650666668721,0.0,0.1115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
clipped_response_tail,8000,3,1500,0.009456735420068373,0.0003984207527064112,95.7869102284398,0.009457637848695733,0.00032491480524205884,96.56452477415523,0.00032491480524205884,96.56452477415523,0.0,7.350594746435232e-05,-0.00014651240253462592,0.000723635034430959,0.22623144983987725,0.0,0.015333333333333332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
clipped_response_tail,32000,3,400,0.00922906265040028,9.130358640189899e-05,99.01069491170982,0.009160915481482665,8.16939056445475e-05,99.10823426097883,8.16939056445475e-05,99.10823426097883,0.0,9.60968075735149e-06,-3.301839703660321e-05,0.00015585005449633444,0.11763032605104574,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
