scope,aggregation,cells,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
primary,pooled_ratio_of_means_sensitivity,96,9216,2686,992,466,0.2914496527777778,18.741083652586735,18.729393887598725,0.011689764988009443,64264.35159594496,0.0,2.407433664975134,0.10807291666666667,0.05056423611111111,0.36932241250930753,0.1734921816827997
fixed_floor_tmle,pooled_ratio_of_means_sensitivity,24,2304,570,299,124,0.24739583333333334,-21.372084497386307,7.240400324989643,-28.61248482237595,1.6590296401159796,0.0,2.7157819942581307,0.12977430555555555,0.05381944444444445,0.5245614035087719,0.21754385964912282
