method,aggregation,cells,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share,mean_abs_gain_gap_pct,min_gain_gap_pct,max_gain_gap_pct
aipw,equal_setting_method_cells,24,2304,631,232,116,0.2738715277777778,8.949097478919489,7.002415835397996,1.9466816435214935,0.10069444444444443,0.05034722222222222,0.389049484731777,0.3562609312326759,3.024288465022599,-9.846060073391733,15.746114164285917
ctmle,equal_setting_method_cells,24,2304,612,196,77,0.265625,4.9794134914936405,4.84824165099313,0.13117184050050923,0.08506944444444443,0.03342013888888889,0.3424229963702461,0.17197894985421494,0.6531313348208873,-3.3242897208033995,3.3462021422530306
cui_selective_ml,equal_setting_method_cells,24,2304,812,334,157,0.3524305555555556,5.185935143857184,0.7416663723415593,4.444268771515625,0.14496527777777776,0.06814236111111112,0.4697263623761841,0.31612826750179396,7.537179355971347,-27.87415542130331,63.52293782104357
ma_dr_bc,equal_setting_method_cells,24,2304,631,230,116,0.2738715277777778,7.657628329896101,7.002415835397996,0.6552124944981056,0.1015625,0.05034722222222222,0.3753013240073149,0.3562609312326759,3.563910105436346,-13.24362166164785,17.164791880304406
tmle,equal_setting_method_cells,24,2304,570,299,124,0.24739583333333334,-7.669510135132373,3.7411372461262995,-11.410647381258672,0.12977430555555555,0.05381944444444445,0.48359345840495666,0.39409686547182504,12.88762175276041,-70.42762414156064,5.924082212151188
