dataset,setting,method,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
ACIC 2016,"ACIC 2016 A, strength=0",aipw,96,5,3,2,0.052083333333333336,-0.7698405196255935,1.1117210036830651,-1.8815615233086587,0.00010598388106472382,0.0,0.0,0.03125,0.020833333333333332,0.6,0.4
ACIC 2016,"ACIC 2016 A, strength=0",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACIC 2016,"ACIC 2016 A, strength=0",cui_selective_ml,96,21,13,7,0.21875,-0.3629836027380197,-2.0996371173076382,1.7366535145696185,-6.678246745884358e-05,0.0,8.937660016889178e-05,0.13541666666666666,0.07291666666666667,0.6190476190476191,0.3333333333333333
ACIC 2016,"ACIC 2016 A, strength=0",ma_dr_bc,96,5,1,2,0.052083333333333336,0.09070149093986142,1.1117210036830651,-1.0210195127432038,6.266834077144297e-05,0.0,0.0,0.010416666666666666,0.020833333333333332,0.2,0.4
ACIC 2016,"ACIC 2016 A, strength=0",tmle,96,6,4,3,0.0625,0.7611162871955047,0.2600073701572026,0.5011089170383021,2.9106412728213966e-06,0.0,0.0,0.041666666666666664,0.03125,0.6666666666666666,0.5
ACIC 2016,"ACIC 2016 A, strength=3",aipw,96,14,6,9,0.14583333333333334,1.868750202707004,-0.3199931140855596,2.1887433167925634,-0.00018373835869575896,0.0,0.0008677251427516679,0.0625,0.09375,0.42857142857142855,0.6428571428571429
ACIC 2016,"ACIC 2016 A, strength=3",ctmle,96,2,1,1,0.020833333333333332,0.08745765141646238,0.10270642336925025,-0.01524877195278787,1.822206608763167e-06,0.0,0.0,0.010416666666666666,0.010416666666666666,0.5,0.5
ACIC 2016,"ACIC 2016 A, strength=3",cui_selective_ml,96,23,3,2,0.23958333333333334,1.2677921260927654,2.2008329546562795,-0.9330408285635141,0.00013920461500009775,0.0,0.000754323352402244,0.03125,0.020833333333333332,0.13043478260869565,0.08695652173913043
ACIC 2016,"ACIC 2016 A, strength=3",ma_dr_bc,96,14,4,9,0.14583333333333334,0.4314091807212212,-0.3199931140855596,0.7514022948067808,-0.00017535420626937386,0.0,0.0016058760931039343,0.041666666666666664,0.09375,0.2857142857142857,0.6428571428571429
ACIC 2016,"ACIC 2016 A, strength=3",tmle,96,6,3,3,0.0625,-0.46195602436285776,0.43944237529874747,-0.9013983996616053,0.00011147913096981718,0.0,0.0,0.03125,0.03125,0.5,0.5
ACIC 2016,"ACIC 2016 B, strength=0",aipw,96,7,3,2,0.07291666666666667,1.1289048693572614,0.6788588189295037,0.4500460504277577,-1.1992273513425597e-05,0.0,0.0,0.03125,0.020833333333333332,0.42857142857142855,0.2857142857142857
ACIC 2016,"ACIC 2016 B, strength=0",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACIC 2016,"ACIC 2016 B, strength=0",cui_selective_ml,96,19,8,9,0.19791666666666666,1.2712040526073005,-2.7295496203206743e-05,1.2712313481035038,-1.1381516895807305e-05,0.0,1.738481486519073e-05,0.08333333333333333,0.09375,0.42105263157894735,0.47368421052631576
ACIC 2016,"ACIC 2016 B, strength=0",ma_dr_bc,96,7,3,2,0.07291666666666667,2.7087625235431756,0.6788588189295037,2.029903704613672,-0.0002529140863833205,0.0,0.0,0.03125,0.020833333333333332,0.42857142857142855,0.2857142857142857
ACIC 2016,"ACIC 2016 B, strength=0",tmle,96,5,4,1,0.052083333333333336,-0.7061244351491384,0.18370325895657305,-0.8898276941057114,2.3171475811327705e-05,0.0,0.0,0.041666666666666664,0.010416666666666666,0.8,0.2
ACIC 2016,"ACIC 2016 B, strength=3",aipw,96,8,3,3,0.08333333333333333,0.8237086334473928,0.129679658800573,0.6940289746468198,-3.603744547090593e-05,0.0,0.0,0.03125,0.03125,0.375,0.375
ACIC 2016,"ACIC 2016 B, strength=3",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACIC 2016,"ACIC 2016 B, strength=3",cui_selective_ml,96,42,29,12,0.4375,-1.462866638114874,0.9489734422763226,-2.4118400803911966,3.128505512645136e-05,0.0,0.00024819024992348503,0.3020833333333333,0.125,0.6904761904761905,0.2857142857142857
ACIC 2016,"ACIC 2016 B, strength=3",ma_dr_bc,96,8,5,3,0.08333333333333333,-0.40421469253208897,0.129679658800573,-0.5338943513326619,4.924853557680252e-05,0.0,0.0,0.052083333333333336,0.03125,0.625,0.375
ACIC 2016,"ACIC 2016 B, strength=3",tmle,96,7,4,4,0.07291666666666667,-1.5168301207854111,-0.7386001087809704,-0.7782300120044408,-2.1197059621071078e-05,0.0,0.0,0.041666666666666664,0.041666666666666664,0.5714285714285714,0.5714285714285714
ACIC 2017,"ACIC 2017 A, strength=0",aipw,96,6,0,4,0.0625,4.961729713366106,0.32136671060525557,4.64036300276085,-0.00021097488925264453,0.0,0.0,0.0,0.041666666666666664,0.0,0.6666666666666666
ACIC 2017,"ACIC 2017 A, strength=0",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACIC 2017,"ACIC 2017 A, strength=0",cui_selective_ml,96,16,5,6,0.16666666666666666,1.5795339497397656,-0.10228131659023253,1.6818152663299981,-1.6736716960440067e-05,0.0,4.3127362519863746e-05,0.052083333333333336,0.0625,0.3125,0.375
ACIC 2017,"ACIC 2017 A, strength=0",ma_dr_bc,96,6,3,4,0.0625,1.905778509929321,0.32136671060525557,1.5844117993240654,-0.0002449587522370195,0.0,0.0,0.03125,0.041666666666666664,0.5,0.6666666666666666
ACIC 2017,"ACIC 2017 A, strength=0",tmle,96,7,2,6,0.07291666666666667,4.20366279372041,-0.5427843445152712,4.746447138235681,-0.0001066691806340074,0.0,0.0,0.020833333333333332,0.0625,0.2857142857142857,0.8571428571428571
ACIC 2017,"ACIC 2017 A, strength=3",aipw,96,11,5,4,0.11458333333333333,2.070742046272353,1.2631815396011594,0.8075605066711937,-3.8049298452395536e-06,0.0,1.934034994566957e-05,0.052083333333333336,0.041666666666666664,0.45454545454545453,0.36363636363636365
ACIC 2017,"ACIC 2017 A, strength=3",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACIC 2017,"ACIC 2017 A, strength=3",cui_selective_ml,96,28,7,3,0.2916666666666667,1.8960743748840472,3.4223896706540375,-1.5263152957699904,0.00019652200171187703,0.0,0.0007707057384837299,0.07291666666666667,0.03125,0.25,0.10714285714285714
