dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108432026,10000,0.05,xgboost,-0.012024927830621899,-0.012024927830621899,0.0,0.0,0;0;0,18.986029184661064,18.986029184661064,0.0,0.0746,0.01893627649709967,0.31564715239497376,54.600960996482314,0.0
2,1,3108432027,10000,0.05,xgboost,-0.016211510021110702,-0.016211510021110702,0.0,0.0,0;0;0,25.066218377180125,25.066218377180125,0.0,0.0833,0.02872236332900616,0.3846770868789048,69.27099945992204,0.0
2,2,3108432028,10000,0.05,xgboost,-0.027101664660209218,-0.027101664660209218,0.0,0.0,0;0;0,20.301529098070365,20.301529098070365,0.0,0.0786,0.0426615562139281,0.3222105741737982,56.90115414228447,0.0
2,3,3108432029,10000,0.05,xgboost,0.03791171152127756,0.03791171152127756,0.0,0.0,0;0;0,21.15438065911717,21.15438065911717,0.0,0.0912,0.06064413255900088,0.3849935625270661,71.5845454423501,0.0
2,4,3108432030,10000,0.05,xgboost,0.0321567467874891,0.0321567467874891,0.0,0.0,0;0;0,19.450265851221914,19.450265851221914,0.0,0.0712,0.035051567821288404,0.35992775978824415,72.32383902070062,0.0
2,5,3108432031,10000,0.05,xgboost,-0.04376808113144356,-0.04376808113144356,0.0,0.0,0;0;0,20.582497004215476,20.582497004215476,0.0,0.0762,0.06514755403514479,0.32521230691819164,62.3967901780153,0.0
2,6,3108432032,10000,0.05,xgboost,-0.02591993659308764,-0.02591993659308764,0.0,0.0,0;0;0,21.316174570714196,21.316174570714196,0.0,0.0737,0.03183769732428766,0.32439689532907384,69.3583574574131,0.0
2,7,3108432033,10000,0.05,xgboost,-0.017616384638618678,-0.017616384638618678,0.0,0.0,0;0;0,21.98956736080238,21.98956736080238,0.0,0.0842,0.07801006321037916,0.34104535304681177,69.53461746776652,0.0
2,8,3108432034,10000,0.05,xgboost,-0.02974146580255773,-0.02974146580255773,0.0,0.0,0;0;0,19.696665346769773,19.696665346769773,0.0,0.077,0.05859526447772293,0.3439222851403782,65.75741822995802,0.0
2,9,3108432035,10000,0.05,xgboost,-0.0264188300999172,-0.0264188300999172,0.0,0.0,0;0;0,20.40457745139356,20.40457745139356,0.0,0.086,0.052688088202861826,0.3445690737688053,58.31393130374787,0.0
2,10,3108432036,10000,0.05,xgboost,-0.01609835509928466,-0.01609835509928466,0.0,0.0,0;0;0,20.49741273049914,20.49741273049914,0.0,0.0732,0.03593715146964836,0.3344731787584098,71.77333056294572,0.0
2,11,3108432037,10000,0.05,xgboost,0.007971107342987838,0.007971107342987838,0.0,0.0,0;0;0,21.76918237656108,21.76918237656108,0.0,0.085,0.059513010436962374,0.362654642248814,82.57856535795526,0.0
