dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108407026,10000,0.05,xgboost,-0.05758474344072602,-0.05758474344072602,0.0,0.0,0;0;0,21.358720518489513,21.358720518489513,0.0,0.0782,0.038723149871383276,0.33581685016187834,113.85834316323091,0.0
2,1,3108407027,10000,0.05,xgboost,0.03242813623912976,0.03242813623912976,0.0,0.0,0;0;0,20.984721221438274,20.984721221438274,0.0,0.0723,0.019956200008799798,0.3479143193641687,85.97187183065454,0.0
2,2,3108407028,10000,0.05,xgboost,0.08116518839294742,0.08116518839294742,0.0,0.0,0;0;0,21.35299904924786,21.35299904924786,0.0,0.0835,0.05663445289063593,0.3487614333551659,71.31701325599731,0.0
2,3,3108407029,10000,0.05,xgboost,-0.03979467125625909,-0.03979467125625909,0.0,0.0,0;0;0,21.31087906022658,21.31087906022658,0.0,0.071,0.024041158518479128,0.3394976989103347,83.86325520296762,0.0
2,4,3108407030,10000,0.05,xgboost,0.008520064877592876,0.008520064877592876,0.0,0.0,0;0;0,19.917377712490318,19.917377712490318,0.0,0.0735,0.03888703178000279,0.3246848599649535,63.356567688772195,0.0
2,5,3108407031,10000,0.05,xgboost,-0.05875629003434056,-0.05875629003434056,0.0,0.0,0;0;0,19.662665164843492,19.662665164843492,0.0,0.0757,0.061687168568973466,0.31165339782972296,78.00152418054464,0.0
2,6,3108407032,10000,0.05,xgboost,-0.05566003809307381,-0.05566003809307381,0.0,0.0,0;0;0,21.724995353982756,21.724995353982756,0.0,0.0801,0.05566253106232777,0.3482116822044087,62.57498702266749,0.0
2,7,3108407033,10000,0.05,xgboost,-0.040095281258906414,-0.040095281258906414,0.0,0.0,0;0;0,20.35680049924726,20.35680049924726,0.0,0.0784,0.06812846462061539,0.3398101860083486,86.8274780997008,0.0
2,8,3108407034,10000,0.05,xgboost,-0.02598221353507872,-0.02598221353507872,0.0,0.0,0;0;0,20.628829633834485,20.628829633834485,0.0,0.0817,0.0686469586611833,0.33063928603509635,60.17500295360223,0.0
2,9,3108407035,10000,0.05,xgboost,0.0791230959001034,0.0791230959001034,0.0,0.0,0;0;0,21.286110444858625,21.286110444858625,0.0,0.0842,0.025105646677875307,0.3432907956603899,58.037427188776746,0.0
2,10,3108407036,10000,0.05,xgboost,0.01660881274793788,0.01660881274793788,0.0,0.0,0;0;0,19.462998087400535,19.462998087400535,0.0,0.0703,0.050077349930364584,0.3510582586291848,46.79465422859657,0.0
2,11,3108407037,10000,0.05,xgboost,0.013993405176874401,0.013993405176874401,0.0,0.0,0;0;0,22.10545474828535,22.10545474828535,0.0,0.0855,0.08582713319046714,0.35870127933911516,61.438124284228444,0.0
3,0,3108507026,10000,0.05,xgboost,0.17018416806401282,0.15942199041978075,-0.010762177644232068,0.8333333333333334,1;0.5;1,58.66065277296274,44.64655941248548,0.23890108101450402,0.1337,0.4371854461975892,0.3317805109378,106.53723449906055,-0.010762177644232073
3,1,3108507027,10000,0.05,xgboost,-0.07367646274506429,-0.05304369222648199,0.020632770518582297,0.8333333333333334,0.5;1;1,57.8172627476366,44.70087264023691,0.22685940987297687,0.1361,0.5070162376747978,0.3386675300272116,85.38843990697349,0.020632770518582293
3,2,3108507028,10000,0.05,xgboost,0.1649534757159163,0.13868446048711786,-0.02626901522879843,0.5,0.5;0.5;0.5,58.3943694076302,46.49792167936767,0.20372593880101153,0.1485,0.3358192727162008,0.3312917230711888,100.94348530461134,-0.026269015228798428
3,3,3108507029,10000,0.05,xgboost,-0.09166105886287934,-0.034333889612430134,0.05732716925044921,0.6666666666666666,1;0.5;0.5,61.19093655960355,49.64610548406858,0.18866897165872976,0.14,0.36059798596995196,0.30859533559509555,120.65478999957926,0.05732716925044921
3,4,3108507030,10000,0.05,xgboost,-0.046182622006423424,-0.010123643640013558,0.036058978366409866,0.6666666666666666,0.5;0.5;1,64.91785768171607,53.5546625045191,0.17503958976756842,0.1532,0.4019537744994955,0.3900720744943803,114.15452684485976,0.036058978366409866
3,5,3108507031,10000,0.05,xgboost,-0.016141392170176128,-0.0488125799507584,-0.03267118778058227,0.8333333333333334,0.5;1;1,60.967995010242404,49.04834619698697,0.1955066557667343,0.1387,0.39539318410902763,0.34658868944594856,122.06709219390991,-0.03267118778058227
3,6,3108507032,10000,0.05,xgboost,-0.05240964665780312,-0.051201020105139,0.0012086265526641202,0.5,0.5;0.5;0.5,59.30602783208797,46.68767477214688,0.2127667881529209,0.1476,0.36297872811285714,0.3428036347655654,103.38983502897648,0.0012086265526641221
3,7,3108507033,10000,0.05,xgboost,-0.02314582920429703,-0.04267736121055063,-0.0195315320062536,0.8333333333333334,1;0.5;1,59.93465499346871,48.42070036429262,0.1921084659689925,0.1333,0.3574769977382831,0.35122422656793234,110.28003319685945,-0.0195315320062536
3,8,3108507034,10000,0.05,xgboost,0.0563733149528175,0.03404464860856175,-0.022328666344255746,0.5,0.5;0.5;0.5,57.16522147300703,46.899905139201344,0.17957275541480913,0.1442,0.37728057488064026,0.3604597779753239,114.56883874424807,-0.022328666344255742
