dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108420026,10000,0.05,xgboost,-0.03194644675050254,-0.03194644675050254,0.0,0.0,0;0;0,18.396375438015227,18.396375438015227,0.0,0.0646,0.06852080656904744,0.34564006733358404,54.19165960960446,0.0
2,1,3108420027,10000,0.05,xgboost,-0.019285845593858496,-0.019285845593858496,0.0,0.0,0;0;0,20.915325404612826,20.915325404612826,0.0,0.08,0.013663400445511117,0.36607897393067673,70.56648938393252,0.0
2,2,3108420028,10000,0.05,xgboost,-0.09432871168594442,-0.09432871168594442,0.0,0.0,0;0;0,21.204761540380698,21.204761540380698,0.0,0.0792,0.050262708610110375,0.3578137729702813,51.47408201068146,0.0
2,3,3108420029,10000,0.05,xgboost,0.06841361733363135,0.06841361733363135,0.0,0.0,0;0;0,20.42769729333789,20.42769729333789,0.0,0.0756,0.05401623899079417,0.3290665053609435,49.97878442618452,0.0
2,4,3108420030,10000,0.05,xgboost,-0.027093876886346988,-0.027093876886346988,0.0,0.0,0;0;0,21.00440891450698,21.00440891450698,0.0,0.0771,0.037787617283873746,0.3553128104042125,83.15592797228804,0.0
2,5,3108420031,10000,0.05,xgboost,-0.044400980571516924,-0.044400980571516924,0.0,0.0,0;0;0,18.530197125056926,18.530197125056926,0.0,0.0777,0.034425107884523284,0.2856988207375321,72.33507759515163,0.0
2,6,3108420032,10000,0.05,xgboost,-0.01997475978046896,-0.01997475978046896,0.0,0.0,0;0;0,19.455386424992223,19.455386424992223,0.0,0.0798,0.035217148313161875,0.3309420486475507,52.75165756109244,0.0
2,7,3108420033,10000,0.05,xgboost,-0.08405135628935184,-0.08405135628935184,0.0,0.0,0;0;0,21.055072663886893,21.055072663886893,0.0,0.0748,0.036584295630244346,0.3138031900347359,69.94986327398419,0.0
2,8,3108420034,10000,0.05,xgboost,0.10132800697913377,0.10132800697913377,0.0,0.0,0;0;0,22.41406346484155,22.41406346484155,0.0,0.0808,0.03676985466346897,0.3291436133524832,67.08665887690438,0.0
2,9,3108420035,10000,0.05,xgboost,-0.06874542118116203,-0.06874542118116203,0.0,0.0,0;0;0,19.89866303507696,19.89866303507696,0.0,0.0728,0.032749976205205006,0.3266340799969599,64.1339163550897,0.0
2,10,3108420036,10000,0.05,xgboost,0.02589335804417862,0.02589335804417862,0.0,0.0,0;0;0,20.295632927785896,20.295632927785896,0.0,0.0821,0.06413985827718645,0.3417646685207872,45.71812617569496,0.0
2,11,3108420037,10000,0.05,xgboost,-0.008861866062999515,-0.008861866062999515,0.0,0.0,0;0;0,19.30408479377483,19.30408479377483,0.0,0.0879,0.04241104376512288,0.372649682626279,49.741748959828534,0.0
3,0,3108520026,10000,0.05,xgboost,-0.04813051589999551,0.01184097840108208,0.05997149430107759,0.6666666666666666,1;0.5;0.5,60.567052762285655,50.319987441514854,0.1691854705393808,0.143,0.4000575591700016,0.36470108216467534,137.77154821158877,0.05997149430107759
3,1,3108520027,10000,0.05,xgboost,0.11629671871871922,0.10767188356014032,-0.008624835158578897,0.6666666666666666,0.5;0.5;1,58.5889551945162,48.25498937132142,0.1763807835262783,0.1336,0.3253631596962068,0.32089502917365065,128.44180701989154,-0.008624835158578897
3,2,3108520028,10000,0.05,xgboost,0.023769654594064604,0.03902140791423125,0.015251753320166643,1.0,1;1;1,65.84614274285381,50.65264842149801,0.23074235920986783,0.1443,0.44123397812679094,0.34398864371072,105.87542351086816,0.015251753320166643
3,3,3108520029,10000,0.05,xgboost,0.07901376578593833,0.06997353695164467,-0.00904022883429366,0.6666666666666666,1;0.5;0.5,60.22306268873215,47.77117304181047,0.20676280964454255,0.1568,0.361916697682228,0.3698800642744876,88.24101275179996,-0.009040228834293658
3,4,3108520030,10000,0.05,xgboost,-0.06717971514155996,-0.05567815860136063,0.011501556540199326,0.5,0.5;0.5;0.5,58.33754413691218,48.178781858159944,0.17413764033176768,0.1452,0.46684743888490937,0.3876980286067152,113.02739016031337,0.01150155654019933
3,5,3108520031,10000,0.05,xgboost,-0.050253307016275395,-0.01932922914078843,0.030924077875486965,0.8333333333333334,0.5;1;1,64.11722463731432,52.35091999894337,0.18351238227992972,0.1394,0.42407088150575994,0.3513710538310908,211.2544559122908,0.030924077875486965
3,6,3108520032,10000,0.05,xgboost,-0.040252580527309345,-0.027401025411786496,0.012851555115522849,0.6666666666666666,0.5;0.5;1,59.036867911729495,49.62880611608092,0.15935909421406433,0.142,0.39522563054814014,0.36224032245807875,114.73501075703358,0.012851555115522847
3,7,3108520033,10000,0.05,xgboost,-0.09671492571622065,-0.1029966871464134,-0.006281761430192753,0.5,0.5;0.5;0.5,58.48733441389675,48.81197555472587,0.16542656553128854,0.1474,0.37600709172548846,0.335426409940076,96.11505037210308,-0.006281761430192757
3,8,3108520034,10000,0.05,xgboost,0.0202858630578705,0.007980212614747104,-0.012305650443123397,0.6666666666666666,1;0.5;0.5,62.042507794865315,49.6272806559142,0.20010840277443798,0.1524,0.4085807877855539,0.345973990030294,98.49380302675188,-0.012305650443123397
3,9,3108520035,10000,0.05,xgboost,0.016879489976533213,-0.014446543319546243,-0.031326033296079456,0.6666666666666666,1;0.5;0.5,53.25499896316263,43.720365406083566,0.17903734377451264,0.1312,0.38000237391410896,0.3339566284900645,93.87231614763957,-0.031326033296079456
3,10,3108520036,10000,0.05,xgboost,0.16600445047464152,0.174318864870609,0.008314414395967473,0.5,0.5;0.5;0.5,61.11297862626205,51.66512461776551,0.1545965230442314,0.146,0.3555448792650178,0.38026927889432954,91.06636592501202,0.008314414395967465
3,11,3108520037,10000,0.05,xgboost,0.048889130356912225,0.034485207969625065,-0.01440392238728716,0.8333333333333334,1;1;0.5,61.78269669735372,48.94858013522346,0.20772995107350137,0.1436,0.4036525020694551,0.3393051338704799,106.91719196603688,-0.014403922387287162
