dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108409026,10000,0.05,xgboost,0.003185704005609474,0.003185704005609474,0.0,0.0,0;0;0,19.718098769112924,19.718098769112924,0.0,0.0767,0.03873469139351875,0.32807569006571885,58.38922745048355,0.0
2,1,3108409027,10000,0.05,xgboost,-0.03290593599099221,-0.03290593599099221,0.0,0.0,0;0;0,21.356797597078057,21.356797597078057,0.0,0.0755,0.026786827637322208,0.35894685294506373,59.54340153915158,0.0
2,2,3108409028,10000,0.05,xgboost,-0.005228494143566215,-0.005228494143566215,0.0,0.0,0;0;0,21.69639229175322,21.69639229175322,0.0,0.0953,0.029709994575112957,0.35112895984381143,49.37996856974384,0.0
2,3,3108409029,10000,0.05,xgboost,0.032286421203628124,0.032286421203628124,0.0,0.0,0;0;0,19.190307921412785,19.190307921412785,0.0,0.0729,0.024314118963009786,0.3333995763153624,78.01161881013594,0.0
2,4,3108409030,10000,0.05,xgboost,-0.03507545174490071,-0.03507545174490071,0.0,0.0,0;0;0,21.10858099684622,21.10858099684622,0.0,0.0707,0.05113388631101836,0.3252504163209435,80.87652325188691,0.0
2,5,3108409031,10000,0.05,xgboost,-0.07201534859668055,-0.07201534859668055,0.0,0.0,0;0;0,21.02573752643104,21.02573752643104,0.0,0.0868,0.04831681124208723,0.3401276409328912,49.58950774359689,0.0
2,6,3108409032,10000,0.05,xgboost,-0.0676663036044089,-0.0676663036044089,0.0,0.0,0;0;0,19.798682162983994,19.798682162983994,0.0,0.0686,0.03707378809236661,0.33169040127331945,56.91941961554077,0.0
2,7,3108409033,10000,0.05,xgboost,-0.05882475927841634,-0.05882475927841634,0.0,0.0,0;0;0,22.4964769350144,22.4964769350144,0.0,0.0788,0.0314712841426569,0.29914309813314816,87.37761734360808,0.0
2,8,3108409034,10000,0.05,xgboost,0.02969576791227062,0.02969576791227062,0.0,0.0,0;0;0,21.87576959170911,21.87576959170911,0.0,0.0897,0.038527239438420124,0.363915628821358,52.042258800629,0.0
2,9,3108409035,10000,0.05,xgboost,-0.029734137749677446,-0.029734137749677446,0.0,0.0,0;0;0,20.69000148262437,20.69000148262437,0.0,0.0812,0.04834041707085509,0.33834759160024913,56.0917776453632,0.0
2,10,3108409036,10000,0.05,xgboost,0.013724656345468877,0.013724656345468877,0.0,0.0,0;0;0,18.68104290886035,18.68104290886035,0.0,0.0715,0.027014165540372514,0.3257353293519076,54.810511111696464,0.0
2,11,3108409037,10000,0.05,xgboost,0.02763237644051445,0.02763237644051445,0.0,0.0,0;0;0,19.587170995396285,19.587170995396285,0.0,0.0726,0.021868006950283906,0.32450813614106044,56.171230257254656,0.0
3,0,3108509026,10000,0.05,xgboost,0.026449422428178437,-0.002636818873238425,-0.029086241301416862,0.5,0.5;0.5;0.5,62.684790137072376,49.06887312882298,0.21721245262966615,0.1481,0.37524835262089523,0.3445120008305032,98.54255465183996,-0.029086241301416862
3,1,3108509027,10000,0.05,xgboost,-0.037339062177245474,-0.006300023736226408,0.031039038441019066,0.8333333333333334,0.5;1;1,55.35656311216173,44.54018779622714,0.1953946326837306,0.1459,0.40407087652786927,0.3285819977471308,101.81023862245485,0.031039038441019066
3,2,3108509028,10000,0.05,xgboost,0.15229906773740354,0.12016150683136156,-0.03213756090604197,0.8333333333333334,1;1;0.5,65.00383142892109,53.9113333444315,0.17064375807784135,0.1476,0.43466230868886074,0.35038997681215556,154.8698848194363,-0.03213756090604198
3,3,3108509029,10000,0.05,xgboost,-0.035763863211570796,-0.029585888340463013,0.006177974871107782,0.5,0.5;0.5;0.5,56.692603942067294,47.30568409697366,0.1655757399093167,0.1369,0.372531161257827,0.3714050298550502,95.96143543378308,0.006177974871107783
3,4,3108509030,10000,0.05,xgboost,0.062007254647041765,0.0288566466789984,-0.033150607968043366,0.6666666666666666,0.5;0.5;1,63.08714794626718,51.88762764466006,0.1775245936168492,0.1489,0.4187398063498906,0.36666386186201966,117.32218941377064,-0.033150607968043366
3,5,3108509031,10000,0.05,xgboost,0.06967092892454563,0.09204815343422472,0.02237722450967909,0.5,0.5;0.5;0.5,62.13603159169832,50.31928486738038,0.19017543318451502,0.1492,0.4082908602216547,0.3721011879133341,114.289187003045,0.022377224509679088
3,6,3108509032,10000,0.05,xgboost,0.11328287216174826,0.1493399697439286,0.03605709758218034,0.6666666666666666,1;0.5;0.5,59.47828483333044,49.09647768450802,0.17454785688447874,0.1542,0.33868914118959603,0.36405353014419156,78.10493820743382,0.036057097582180356
3,7,3108509033,10000,0.05,xgboost,-0.003819502134986885,0.012538931166140369,0.016358433301127254,0.6666666666666666,0.5;0.5;1,60.83365947675756,47.821163104369795,0.21390290316760233,0.1323,0.37871421168699165,0.33119901906941307,95.43487306505442,0.016358433301127254
