dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108416026,10000,0.05,xgboost,-0.03296103732736591,-0.03296103732736591,0.0,0.0,0;0;0,20.234856495031305,20.234856495031305,0.0,0.0883,0.03812827689893408,0.3308287274053436,57.03415885222119,0.0
2,1,3108416027,10000,0.05,xgboost,0.024603298637883464,0.024603298637883464,0.0,0.0,0;0;0,21.134036798649277,21.134036798649277,0.0,0.0789,0.04805754525731418,0.35383717787421326,74.80874159329322,0.0
2,2,3108416028,10000,0.05,xgboost,-0.0247324107401359,-0.0247324107401359,0.0,0.0,0;0;0,20.943441570119933,20.943441570119933,0.0,0.0719,0.035114612666917545,0.3533627796627279,63.88960913505228,0.0
2,3,3108416029,10000,0.05,xgboost,0.040557067493303144,0.040557067493303144,0.0,0.0,0;0;0,23.295602030258742,23.295602030258742,0.0,0.089,0.04655320779950793,0.3589566032935485,51.29103261160362,0.0
2,4,3108416030,10000,0.05,xgboost,-0.015143026067768996,-0.015143026067768996,0.0,0.0,0;0;0,23.450333316841675,23.450333316841675,0.0,0.095,0.07618478434193574,0.3573008086750854,58.55032545280646,0.0
2,5,3108416031,10000,0.05,xgboost,-0.01771367484725151,-0.01771367484725151,0.0,0.0,0;0;0,19.612613380173578,19.612613380173578,0.0,0.0797,0.027334430978588353,0.33568015997262796,67.32000243717998,0.0
2,6,3108416032,10000,0.05,xgboost,0.009969917243218267,0.009969917243218267,0.0,0.0,0;0;0,22.78540491747459,22.78540491747459,0.0,0.0779,0.030064828455716883,0.3432320483500815,57.664030760831885,0.0
2,7,3108416033,10000,0.05,xgboost,0.05267318199179124,0.05267318199179124,0.0,0.0,0;0;0,19.434695207157276,19.434695207157276,0.0,0.0808,0.03911477605578463,0.34253842198363543,47.923251104387795,0.0
2,8,3108416034,10000,0.05,xgboost,0.018495016666174365,0.018495016666174365,0.0,0.0,0;0;0,19.02437624327571,19.02437624327571,0.0,0.0733,0.03627773740265644,0.3320358542981713,61.921475713866755,0.0
2,9,3108416035,10000,0.05,xgboost,0.001074983831639828,0.001074983831639828,0.0,0.0,0;0;0,20.83287750300229,20.83287750300229,0.0,0.0761,0.022918032969744692,0.34469385138103786,65.89056018624339,0.0
2,10,3108416036,10000,0.05,xgboost,0.02962212216281461,0.02962212216281461,0.0,0.0,0;0;0,20.17455306794633,20.17455306794633,0.0,0.075,0.02861361086724362,0.3325859120653221,66.28674639290796,0.0
2,11,3108416037,10000,0.05,xgboost,0.01625608022649358,0.01625608022649358,0.0,0.0,0;0;0,19.648775911755706,19.648775911755706,0.0,0.0751,0.061827637783931626,0.3378364558035942,58.72092877389509,0.0
3,0,3108516026,10000,0.05,xgboost,0.07679978808425758,0.055087915777750365,-0.021711872306507216,0.6666666666666666,0.5;0.5;1,57.971340781579606,47.499073681465376,0.1806455907164699,0.1363,0.47539452130599597,0.34276954351907835,190.7008320947558,-0.02171187230650722
3,1,3108516027,10000,0.05,xgboost,-8.549828582549157e-05,-0.036823186225324864,-0.03673768793949937,0.8333333333333334,0.5;1;1,59.235967656079644,47.42947691609087,0.1993128703246063,0.1444,0.4913034199775561,0.3343042059215338,107.27643881492651,-0.03673768793949937
3,2,3108516028,10000,0.05,xgboost,0.07929305993115626,0.06425503261508422,-0.015038027316072039,0.5,0.5;0.5;0.5,60.00576893084338,47.66568063408133,0.20564836542606418,0.1508,0.3885391231497871,0.3404154649526831,114.65487289601754,-0.015038027316072032
