dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108431026,10000,0.05,xgboost,0.005780786878969914,0.005780786878969914,0.0,0.0,0;0;0,19.63027597635472,19.63027597635472,0.0,0.0784,0.0569922880928611,0.34978510185935646,51.074719578393896,0.0
2,1,3108431027,10000,0.05,xgboost,-0.019363346673294517,-0.019363346673294517,0.0,0.0,0;0;0,19.979707591500297,19.979707591500297,0.0,0.0696,0.03724263229079557,0.353751044927589,52.19207331339012,0.0
2,2,3108431028,10000,0.05,xgboost,-0.000641768036347537,-0.000641768036347537,0.0,0.0,0;0;0,21.264362625823964,21.264362625823964,0.0,0.0751,0.04951387405076537,0.34647652565002435,77.5530129527936,0.0
2,3,3108431029,10000,0.05,xgboost,0.035823837384884004,0.035823837384884004,0.0,0.0,0;0;0,20.37403175417078,20.37403175417078,0.0,0.0713,0.030054202700851636,0.35316152979092674,46.54718055393444,0.0
2,4,3108431030,10000,0.05,xgboost,0.004135115213737406,0.004135115213737406,0.0,0.0,0;0;0,20.88138655043216,20.88138655043216,0.0,0.0873,0.06971693705210254,0.3404957870387303,56.17182590666984,0.0
2,5,3108431031,10000,0.05,xgboost,-0.05043857260934659,-0.05043857260934659,0.0,0.0,0;0;0,22.113782859377967,22.113782859377967,0.0,0.0833,0.04264515264051696,0.36022675091555173,54.96680946394667,0.0
2,6,3108431032,10000,0.05,xgboost,0.059075674907522836,0.059075674907522836,0.0,0.0,0;0;0,19.466078776783245,19.466078776783245,0.0,0.0728,0.029886678694651846,0.3308249855417848,65.2124899917496,0.0
2,7,3108431033,10000,0.05,xgboost,-0.011365694719920817,-0.011365694719920817,0.0,0.0,0;0;0,20.5395214329024,20.5395214329024,0.0,0.0775,0.05214589522355712,0.3714761411841659,52.79053864113731,0.0
2,8,3108431034,10000,0.05,xgboost,-0.028266986862152683,-0.028266986862152683,0.0,0.0,0;0;0,22.041572645254043,22.041572645254043,0.0,0.1014,0.08674766526750724,0.3593199492730165,61.55685044943255,0.0
2,9,3108431035,10000,0.05,xgboost,0.0024802911623258064,0.0024802911623258064,0.0,0.0,0;0;0,21.36562402960589,21.36562402960589,0.0,0.0898,0.04928219214385202,0.36480008713194295,53.406078928166295,0.0
2,10,3108431036,10000,0.05,xgboost,0.0056074648483327265,0.0056074648483327265,0.0,0.0,0;0;0,19.23974707493081,19.23974707493081,0.0,0.0665,0.08706162036811384,0.3433729465338828,49.11507977301951,0.0
2,11,3108431037,10000,0.05,xgboost,-0.013631919262136836,-0.013631919262136836,0.0,0.0,0;0;0,20.394093264130362,20.394093264130362,0.0,0.0861,0.04260547226288539,0.32557469497438696,47.78308027030433,0.0
3,0,3108531026,10000,0.05,xgboost,-0.04189519707761996,-0.048302898859672976,-0.006407701782053014,0.5,0.5;0.5;0.5,56.2153515605845,45.049324469165455,0.1986294985522803,0.127,0.36067645830687495,0.34314031617598356,89.44803333309176,-0.006407701782053016
3,1,3108531027,10000,0.05,xgboost,0.007473728774126831,0.03516104595862646,0.027687317184499627,0.6666666666666666,0.5;0.5;1,56.65094596874092,43.02515191959685,0.24052191567396886,0.1333,0.37383587805146967,0.3368211911030257,82.8295973766905,0.027687317184499623
3,2,3108531028,10000,0.05,xgboost,0.018241299543431733,0.0777899486936081,0.059548649150176367,0.8333333333333334,1;1;0.5,60.166224360910526,49.90907565013801,0.17048017919895433,0.1513,0.3600439407732636,0.380730413795925,79.87948594023254,0.059548649150176367
3,3,3108531029,10000,0.05,xgboost,0.12790744931331943,0.09226855291644068,-0.035638896396878755,0.8333333333333334,1;0.5;1,60.09601007105343,48.87538412136821,0.1867116624950428,0.1363,0.38379794071079015,0.30159495270421216,103.67109943505906,-0.03563889639687876
3,4,3108531030,10000,0.05,xgboost,-0.055581105512033935,-0.05507038940419923,0.0005107161078347078,0.6666666666666666,0.5;0.5;1,60.61821379826602,48.7132663121215,0.19639225144052433,0.1475,0.4447858277854039,0.34754582100506953,117.53825534987651,0.0005107161078347047
3,5,3108531031,10000,0.05,xgboost,-0.12923213269039419,-0.09066771562159907,0.03856441706879511,0.8333333333333334,0.5;1;1,56.220173642843754,46.583747853099986,0.17140512320296586,0.1484,0.43124491691473316,0.3580388231009376,74.31744611081677,0.03856441706879511
3,6,3108531032,10000,0.05,xgboost,0.08878653596949265,0.0891470001399221,0.0003604641704294531,1.0,1;1;1,57.215570220308635,44.490472271870196,0.22240620690207982,0.1308,0.40356839449484816,0.3215193497966998,131.90505966588813,0.00036046417042945365
3,7,3108531033,10000,0.05,xgboost,0.015702059099036603,0.03273926670422582,0.017037207605189217,0.5,0.5;0.5;0.5,56.654141871328825,45.52057276382803,0.19651818454486564,0.1367,0.4230123267186824,0.3453350826822673,92.86111588799754,0.017037207605189217
3,8,3108531034,10000,0.05,xgboost,-0.005541010121073275,0.00952069248762647,0.015061702608699745,0.5,0.5;0.5;0.5,61.77908066965088,51.14673553804927,0.17210267644569816,0.1548,0.40771544754077893,0.4282274993284271,127.22929819903162,0.015061702608699745
3,9,3108531035,10000,0.05,xgboost,0.001431086465663256,-0.011242020212157214,-0.01267310667782047,0.6666666666666666,0.5;1;0.5,55.996645164049426,45.691006929165205,0.1840402796398341,0.1381,0.46996133723661826,0.3101372523891208,103.98174234846266,-0.01267310667782047
3,10,3108531036,10000,0.05,xgboost,-0.053415479939631916,-0.04471175398059124,0.008703725959040676,0.5,0.5;0.5;0.5,60.324390180162155,49.211601721620234,0.18421717029136903,0.1571,0.41322148846789897,0.36461343836181626,150.01270101561371,0.008703725959040676
3,11,3108531037,10000,0.05,xgboost,-0.0021985436099896116,-0.028119456229875436,-0.025920912619885824,0.6666666666666666,0.5;0.5;1,54.14085524233678,42.904756149628504,0.20753456964089345,0.1361,0.42597354356785877,0.3278524682330973,92.79431502169567,-0.025920912619885824
