dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108425026,10000,0.05,xgboost,-0.08163543007798334,-0.08163543007798334,0.0,0.0,0;0;0,21.9908144170752,21.9908144170752,0.0,0.0904,0.04808263807782395,0.3840263800079904,67.09546684294658,0.0
2,1,3108425027,10000,0.05,xgboost,-0.0472518912743304,-0.0472518912743304,0.0,0.0,0;0;0,19.976337158170278,19.976337158170278,0.0,0.0761,0.0770593039309083,0.3706139229919185,44.16165907750697,0.0
2,2,3108425028,10000,0.05,xgboost,0.042964994582862286,0.042964994582862286,0.0,0.0,0;0;0,21.623975755133685,21.623975755133685,0.0,0.077,0.02226292727515474,0.35456968299876923,54.75515055201551,0.0
2,3,3108425029,10000,0.05,xgboost,0.03959410554111562,0.03959410554111562,0.0,0.0,0;0;0,20.310057817691092,20.310057817691092,0.0,0.079,0.0263960385126654,0.34770784197861593,61.125592170865666,0.0
2,4,3108425030,10000,0.05,xgboost,-0.015933067690514505,-0.015933067690514505,0.0,0.0,0;0;0,20.640130916209124,20.640130916209124,0.0,0.0732,0.03735878526707417,0.3823551725057915,56.59495689084459,0.0
2,5,3108425031,10000,0.05,xgboost,0.01443813545825838,0.01443813545825838,0.0,0.0,0;0;0,21.855371008300207,21.855371008300207,0.0,0.0725,0.025187856770536813,0.33128912372961333,62.16967971185335,0.0
2,6,3108425032,10000,0.05,xgboost,-0.12379413617961676,-0.12379413617961676,0.0,0.0,0;0;0,20.810734018471862,20.810734018471862,0.0,0.0782,0.08041999383061556,0.3253396699790815,48.46807832511795,0.0
2,7,3108425033,10000,0.05,xgboost,0.0019246397710267378,0.0019246397710267378,0.0,0.0,0;0;0,21.7134869028698,21.7134869028698,0.0,0.0893,0.03792855629612743,0.37951071465399755,54.07154001663161,0.0
2,8,3108425034,10000,0.05,xgboost,-0.018403406668325524,-0.018403406668325524,0.0,0.0,0;0;0,19.896112562969005,19.896112562969005,0.0,0.0668,0.06125539094116611,0.3350584213696621,54.59135691241025,0.0
2,9,3108425035,10000,0.05,xgboost,0.10980844666440145,0.10980844666440145,0.0,0.0,0;0;0,24.06069208296956,24.06069208296956,0.0,0.0915,0.0517911054544899,0.3883581583087877,74.79194331857416,0.0
2,10,3108425036,10000,0.05,xgboost,0.0742119224403356,0.0742119224403356,0.0,0.0,0;0;0,21.9904630628249,21.9904630628249,0.0,0.0864,0.03386031994434139,0.3545168323502265,84.25952399692186,0.0
2,11,3108425037,10000,0.05,xgboost,-0.030660775232186778,-0.030660775232186778,0.0,0.0,0;0;0,20.173935747238847,20.173935747238847,0.0,0.0769,0.032097089845761324,0.3605798090914656,63.744914414173145,0.0
3,0,3108525026,10000,0.05,xgboost,-0.04975334425286032,-0.09614335593514808,-0.04639001168228776,0.8333333333333334,0.5;1;1,63.38696839602445,48.06906693319466,0.2416569501656512,0.1354,0.460633503856157,0.35505961351357324,118.11387866708922,-0.04639001168228776
3,1,3108525027,10000,0.05,xgboost,0.07608107924144072,0.06449498612017415,-0.011586093121266572,0.6666666666666666,0.5;0.5;1,65.28300256664423,53.35749272501941,0.18267404029786538,0.1489,0.3771257874825934,0.3531209868444749,85.87471269349675,-0.011586093121266568
3,2,3108525028,10000,0.05,xgboost,-0.034272686523414975,-0.10366385816301031,-0.06939117163959534,0.6666666666666666,0.5;0.5;1,65.61432567780234,54.43220334814454,0.17042196523617967,0.1534,0.4582845001763842,0.3963588006382625,143.53212578074763,-0.06939117163959534
3,3,3108525029,10000,0.05,xgboost,-0.052161779197414715,-0.033733423887686256,0.01842835530972846,0.6666666666666666,1;0.5;0.5,57.19494460431882,43.78053588644369,0.23453836367318037,0.1362,0.45745201491318105,0.345907719713848,84.7518854881036,0.018428355309728455
3,4,3108525030,10000,0.05,xgboost,0.03188366016622374,-0.037642374859358146,-0.06952603502558188,1.0,1;1;1,66.75439929416706,50.86410665385866,0.23804112999780788,0.1502,0.46951695917104774,0.3654470911453843,118.07509405205752,-0.06952603502558188
3,5,3108525031,10000,0.05,xgboost,-0.025097848771497233,-0.035185236872684336,-0.010087388101187103,0.6666666666666666,0.5;1;0.5,52.358162746996065,43.066058116733664,0.17747193833296823,0.1303,0.47099133473237004,0.32491682460868493,102.49913087197847,-0.010087388101187105
3,6,3108525032,10000,0.05,xgboost,-0.04830358002927859,0.002997095827768255,0.05130067585704685,0.6666666666666666,0.5;1;0.5,59.06264396459251,47.00272506821037,0.2041886052986715,0.1397,0.3805553911292977,0.33885909516531315,88.28198503059257,0.05130067585704685
3,7,3108525033,10000,0.05,xgboost,0.09251288448123851,0.11706779599123218,0.02455491150999367,0.6666666666666666,0.5;1;0.5,58.65671801927085,46.54159757988759,0.2065427601217477,0.1265,0.4011249522251745,0.33722792785469285,110.55893504573382,0.024554911509993668
3,8,3108525034,10000,0.05,xgboost,-0.061301421298188274,-0.025573365319150998,0.035728055979037276,0.8333333333333334,1;0.5;1,58.80065917166857,45.300986938273745,0.2295836887471367,0.1433,0.4763547229039061,0.315971285603076,172.42796013272715,0.035728055979037276
3,9,3108525035,10000,0.05,xgboost,-0.025971958384571003,-0.011472229598170397,0.014499728786400606,0.8333333333333334,1;1;0.5,58.809916870062935,45.229601350287304,0.23091880149704244,0.1356,0.4039843909095969,0.323102445513745,131.42452537771197,0.014499728786400606
3,10,3108525036,10000,0.05,xgboost,-0.03538727600190905,-0.047811505045755154,-0.012424229043846102,0.6666666666666666,0.5;0.5;1,62.580066294430395,51.559639058910925,0.1761012393893914,0.144,0.3305571288699143,0.3647281712369354,114.74573054393692,-0.0124242290438461
3,11,3108525037,10000,0.05,xgboost,-0.06520114444538944,-0.13058659509505047,-0.06538545064966103,0.8333333333333334,0.5;1;1,53.55832010552071,44.840620967003986,0.16277021238420275,0.1273,0.31189657812345334,0.3213900860088627,106.29034240432297,-0.06538545064966103
