group,design,method,n,strength,reps,reference_mse,no_shrinkage_mse,c2_shrinkage_mse,no_shrinkage_gain,no_shrinkage_gain_ci_low,no_shrinkage_gain_ci_high,c2_shrinkage_gain,c2_shrinkage_gain_ci_low,c2_shrinkage_gain_ci_high,c2_minus_no_shrinkage_gain,c2_minus_no_shrinkage_gain_ci_low,c2_minus_no_shrinkage_gain_ci_high,path_activation,final_activation,no_shrinkage_harm,c2_shrinkage_harm,mean_shrink_weight
alignment,alignment_disjoint,ctmle,3000,8,96,0.0114174760492,0.0114174760492,0.0114174760492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,cui_selective_ml,3000,3,96,0.00217243932617,0.00216448274742,0.00217243932617,0.00366250907526,0,0.012530419841,0,0,0,-0.00366250907526,-0.012530419841,0,0.0208333333333,0,0,0,0
alignment,alignment_disjoint,cui_selective_ml,3000,5,96,0.00438571298702,0.00437258912127,0.00437534152576,0.00299241327068,-0.0308689583273,0.0387653260189,0.00236482899939,-0.0180803120697,0.02887225187,-0.000627584271289,-0.0164096769722,0.0156857558412,0.125,0.03125,0.0729166666667,0.0208333333333,0.022680448205
alignment,alignment_disjoint,cui_selective_ml,3000,8,96,0.00815822466749,0.00806266710443,0.00802741769451,0.0117130340179,-0.0435552335473,0.0668077444019,0.0160337546845,-0.0162235720333,0.0613955623968,0.00432072066656,-0.0194339961731,0.0334638043168,0.135416666667,0.03125,0.0625,0.0104166666667,0.020319719052
alignment,alignment_disjoint,ma_dr_bc,3000,3,96,0.0222330468673,0.0221835031841,0.0222330468673,0.00222838027763,0,0.00717920485998,0,0,0,-0.00222838027763,-0.00717920485998,0,0.0104166666667,0,0,0,0
alignment,alignment_disjoint,ma_dr_bc,3000,5,96,0.0531218828393,0.0529568745988,0.0531218828393,0.00310621972854,0,0.00991175258456,0,0,0,-0.00310621972854,-0.00991175258456,0,0.0104166666667,0,0,0,0
alignment,alignment_disjoint,ma_dr_bc,3000,8,96,0.122886030678,0.122886030678,0.122886030678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,tmle,3000,3,96,0.00465980372027,0.00465987553687,0.00465980372027,-1.54119364502e-05,-5.27631737354e-05,0,0,0,0,1.54119364502e-05,0,5.27631737354e-05,0.0104166666667,0,0.0104166666667,0,0
alignment,alignment_disjoint,tmle,3000,5,96,0.00768946462713,0.00768946462713,0.00768946462713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,tmle,3000,8,96,0.0199371889334,0.0199065279691,0.0199434576045,0.00153787800306,-0.00361251787796,0.00890401442837,-0.000314421010478,-0.00112194382335,0,-0.00185229901354,-0.00904206262589,0.00271085768631,0.0208333333333,0.0104166666667,0.0104166666667,0.0104166666667,0.00752873788221
alignment,alignment_partial,aipw,3000,3,96,0.0163822190776,0.0164115621063,0.0163822190776,-0.00179115103738,-0.01053996818,0.00450288994291,0,0,0,0.00179115103738,-0.00450288994291,0.01053996818,0.0416666666667,0,0.0208333333333,0,0
alignment,alignment_partial,aipw,3000,5,96,0.0255389790561,0.025149859144,0.0253467220097,0.015236314309,-0.00324029056092,0.04389721494,0.00752798480757,0,0.0246254708038,-0.00770832950144,-0.0236147022751,0.00327060471008,0.03125,0.0104166666667,0.0104166666667,0,0.00660614588906
alignment,alignment_partial,aipw,3000,8,96,0.0631177978434,0.0625420327905,0.0630258803746,0.00912207131066,0,0.0311945049605,0.00145628447116,0,0.0050546748286,-0.00766578683949,-0.0261357828479,0,0.0208333333333,0.0104166666667,0,0,0.00150712207856
alignment,alignment_partial,ctmle,3000,3,96,0.00393216246828,0.00393216246828,0.00393216246828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_partial,ctmle,3000,5,96,0.0082468049806,0.0082468049806,0.0082468049806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_partial,ctmle,3000,8,96,0.0232563864935,0.0232563864935,0.0232563864935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_partial,cui_selective_ml,3000,3,96,0.00385078860132,0.00381660379141,0.00383449282283,0.00887735304351,-0.0153092123046,0.0356609727354,0.00423180293346,0,0.014877364286,-0.00464555011005,-0.026662704049,0.0171575928038,0.09375,0.0104166666667,0.0520833333333,0,0.00471088462098
alignment,alignment_partial,cui_selective_ml,3000,5,96,0.00687559590879,0.00681343433949,0.00684168794661,0.00904089916329,-0.00523710543068,0.0290165476015,0.00493163976232,0,0.0162753659803,-0.00410925940097,-0.0172776213085,0.00569530701244,0.0729166666667,0.0104166666667,0.0416666666667,0,0.00708159814994
alignment,alignment_partial,cui_selective_ml,3000,8,96,0.0235497530645,0.0218665589038,0.023409137406,0.0714739622145,0.0236454149487,0.119133096538,0.00597100352453,-0.0010751824769,0.0163312556233,-0.0655029586899,-0.109207212701,-0.0219707671955,0.177083333333,0.0520833333333,0.0520833333333,0.0104166666667,0.0156422278275
alignment,alignment_partial,ma_dr_bc,3000,3,96,0.0108276649413,0.0108276649413,0.0108276649413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_partial,ma_dr_bc,3000,5,96,0.0164310554521,0.0163445256196,0.0163620909504,0.00526623702032,0,0.0181942036969,0.00419720461299,0,0.0145008277052,-0.00106903240733,-0.00369337599173,0,0.0104166666667,0.0104166666667,0,0,0.00801747534859
alignment,alignment_partial,ma_dr_bc,3000,8,96,0.0434688191802,0.0434688191802,0.0434688191802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_partial,tmle,3000,3,96,0.00292964901051,0.00297218166349,0.00293897823396,-0.0145180029508,-0.0404824182021,0,-0.0031844167742,-0.0114468377777,0,0.0113335861766,0,0.0309115732021,0.0208333333333,0.0104166666667,0.0208333333333,0.0104166666667,0.00464601827666
alignment,alignment_partial,tmle,3000,5,96,0.00529026609613,0.00528834097641,0.00529026609613,0.000363898467863,-0.00320577282439,0.00424127847636,0,0,0,-0.000363898467863,-0.00424127847636,0.00320577282439,0.03125,0,0.0104166666667,0,0
alignment,alignment_partial,tmle,3000,8,96,0.0124650058561,0.0122560704305,0.0124565551917,0.0167617591238,0,0.0457634406754,0.000677951096673,0,0.00229242007281,-0.0160838080271,-0.0436620391415,0,0.0208333333333,0.0104166666667,0,0,0.000587122238845
anchor,regional_shift,aipw,3000,0,96,0.0046165728902,0.0046165728902,0.0046165728902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,aipw,3000,3,96,0.00835638759121,0.00836802328359,0.00835638759121,-0.00139243091041,-0.00538039526947,0.000602189334335,0,0,0,0.00139243091041,-0.000602189334335,0.00538039526947,0.0208333333333,0,0.0104166666667,0,0
anchor,regional_shift,aipw,3000,5,96,0.0160093899268,0.0154786434729,0.0156761278293,0.0331521973289,0,0.09010286595,0.0208166644083,0,0.0564342902912,-0.0123355329206,-0.0337691305099,0,0.03125,0.03125,0,0,0.0132638887763
anchor,regional_shift,aipw,3000,8,96,0.0277308814721,0.0277193751836,0.0277308814721,0.000414926892792,-0.00889951663207,0.0100537334068,0,0,0,-0.000414926892792,-0.0100537334068,0.00889951663207,0.0520833333333,0,0.03125,0,0
anchor,regional_shift,ctmle,3000,0,96,0.0012531197141,0.0012531197141,0.0012531197141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,ctmle,3000,3,96,0.0141424753847,0.0141424753847,0.0141424753847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,ctmle,3000,5,96,0.0347604683142,0.0347604683142,0.0347604683142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,ctmle,3000,8,96,0.0825343124743,0.0825343124743,0.0825343124743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,cui_selective_ml,3000,0,96,0.00117699743987,0.0011741365091,0.00117508991795,0.00243070262361,-0.00108911127755,0.00973072206133,0.00162066785901,0,0.00581081715533,-0.000810034764604,-0.00397091300267,0.00109282311322,0.0208333333333,0.0104166666667,0.0104166666667,0,0.00565600310358
anchor,regional_shift,cui_selective_ml,3000,3,96,0.00983468623088,0.00995882421513,0.00978882500972,-0.0126224651533,-0.0377254706159,0.0101056804296,0.00466321142246,0,0.0118292651097,0.0172856765757,-0.00274239988903,0.0411351796656,0.25,0.03125,0.125,0,0.017499405986
anchor,regional_shift,cui_selective_ml,3000,5,96,0.0238067151269,0.0226849291993,0.0236109233756,0.0471205675234,0.0243204961391,0.0737348108045,0.00822422372261,0.00159752249251,0.0188681845564,-0.0388963438008,-0.0625867544815,-0.0187301201227,0.427083333333,0.0729166666667,0.104166666667,0,0.0265979630251
anchor,regional_shift,cui_selective_ml,3000,8,96,0.0606016617225,0.0573174617137,0.0597504924569,0.0541932335749,0.0293906319811,0.0811398842127,0.014045312313,0.00411397860977,0.0261793614668,-0.0401479212619,-0.0618797762667,-0.0202378111377,0.375,0.0833333333333,0.0729166666667,0,0.0370002579467
anchor,regional_shift,ma_dr_bc,3000,0,96,0.0050685768456,0.0050685768456,0.0050685768456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,ma_dr_bc,3000,3,96,0.0242450778637,0.0242948208392,0.0242450778637,-0.00205167316098,-0.00686220573037,0,0,0,0,0.00205167316098,0,0.00686220573037,0.0104166666667,0,0.0104166666667,0,0
anchor,regional_shift,ma_dr_bc,3000,5,96,0.0593807189565,0.0593868361354,0.0593807189565,-0.000103016248867,-0.000334568934314,0,0,0,0,0.000103016248867,0,0.000334568934314,0.0104166666667,0,0.0104166666667,0,0
anchor,regional_shift,ma_dr_bc,3000,8,96,0.13902555273,0.13902555273,0.13902555273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,tmle,3000,0,96,0.0017218652021,0.0017218652021,0.0017218652021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,tmle,3000,3,96,0.00959133145811,0.00959133145811,0.00959133145811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,regional_shift,tmle,3000,5,96,0.0239888646135,0.0238967548936,0.0238651099629,0.00383968651175,-0.0104965874702,0.0222573283458,0.0051588373412,0,0.0163803530063,0.00131915082946,-0.00657318887381,0.0111103844766,0.0208333333333,0.0104166666667,0.0104166666667,0,0.0069370027186
