dataset,rows,active_share,mean_mse_gain,harm_share,active_harm_share,mean_G_xi,positive_G_xi_share,active_positive_G_xi_share,mean_rho2,mean_bias0_sq,mean_biasg_sq,mean_bias_sq_change,positive_bias_sq_change_share,active_positive_bias_sq_change_share,mean_variance_reduction,positive_variance_reduction_share,active_positive_variance_reduction_share,variance_violations,bias_violations,variance_certified,variance_certified_share,abs_term_tighter_share,path_term_tighter_share,min_variance_slack,p05_variance_slack,median_variance_slack,min_bias_slack,p05_bias_slack,median_bias_slack
ACIC 2016,1536,0.11393229166666667,-8.626602142573898,0.053385416666666664,0.4685714285714286,0.013489478781051613,0.09830729166666667,0.8628571428571429,2.6986603227160857,0.0024344789835592053,0.0024114041098541187,2.3074873705086842e-05,0.06575520833333333,0.5771428571428572,4.778229819799563e-06,0.09505208333333333,0.8342857142857143,0,0,0,0.0,0.02734375,0.97265625,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2017,1536,0.11197916666666667,-10.19139416360927,0.046875,0.4186046511627907,0.008708412103695818,0.08658854166666667,0.7732558139534884,2.641977417261306,0.0020717681366818207,0.002034863670540285,3.690446614153585e-05,0.06640625,0.5930232558139535,3.1954741183260887e-06,0.08658854166666667,0.7732558139534884,0,0,0,0.0,0.03515625,0.96484375,0.0,0.0,0.0,0.0,0.0,0.0
IHDP,1536,0.08723958333333333,-24.33365008680751,0.03125,0.3582089552238806,0.003249542044883772,0.045572916666666664,0.5223880597014925,1.6282753460511599,0.0021122482215630675,0.0020752593266449644,3.698889491810287e-05,0.054036458333333336,0.6194029850746269,7.231422826688679e-07,0.044270833333333336,0.5074626865671642,0,0,0,0.0,0.041015625,0.958984375,0.0,0.0,0.0,0.0,0.0,0.0
Kang-Schafer,3072,0.6409505208333334,-344.55869660367097,0.22819010416666666,0.35398679532757743,37537122.54836141,0.61328125,0.9568308786185881,2.8102468458715832,21348.72362966077,17446.80719840032,3901.9164312604476,0.513671875,0.8014220416455053,188897.32904552328,0.4375,0.6825799898425596,0,0,0,0.0,0.435546875,0.564453125,0.0,0.0,104643.08015718336,0.0,0.0,84.90879035542352
Twins,1536,0.15364583333333334,-1.3710006454700556,0.060546875,0.3940677966101695,-12448.688795634707,0.13020833333333334,0.847457627118644,16.01723364813911,0.24902261028041406,0.4674569468700264,-0.21843433658961234,0.099609375,0.6483050847457628,-4.149478948807258,0.12890625,0.8389830508474576,0,0,0,0.0,0.059895833333333336,0.9401041666666666,0.0,0.0,0.0,0.0,0.0,0.0
