dataset,method,rows,active_share,mean_mse_gain,harm_share,active_harm_share,mean_G_xi,positive_G_xi_share,active_positive_G_xi_share,mean_rho2,mean_bias0_sq,mean_biasg_sq,mean_bias_sq_change,positive_bias_sq_change_share,active_positive_bias_sq_change_share,mean_variance_reduction,positive_variance_reduction_share,active_positive_variance_reduction_share,variance_violations,bias_violations,variance_certified,variance_certified_share,abs_term_tighter_share,path_term_tighter_share,min_variance_slack,p05_variance_slack,median_variance_slack,min_bias_slack,p05_bias_slack,median_bias_slack
ACIC 2016,aipw,384,0.08854166666666667,-34.31888837817372,0.0390625,0.4411764705882353,0.01969174003168923,0.07552083333333333,0.8529411764705882,2.926947771146864,0.0014886624780759562,0.00147257038968776,1.609208838819605e-05,0.046875,0.5294117647058824,7.1791579322737925e-06,0.07552083333333333,0.8529411764705882,0,0,0,0.0,0.013020833333333334,0.9869791666666666,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2016,ctmle,384,0.005208333333333333,0.0005920324215417492,0.0026041666666666665,0.5,1.221693812343882e-05,0.0026041666666666665,0.5,3.996190448179266,0.0034944940474502047,0.003490791008480926,3.7030389692790992e-06,0.0026041666666666665,0.5,-2.922222712483874e-08,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2016,cui_selective_ml,384,0.2734375,-0.13047922958967537,0.13802083333333334,0.5047619047619047,0.014562218122704555,0.23958333333333334,0.8761904761904762,0.9445553003913498,0.0032660969306347056,0.003209684651560029,5.641227907467618e-05,0.16666666666666666,0.6095238095238096,4.783825641775505e-06,0.22916666666666666,0.8380952380952381,0,0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2016,ma_dr_bc,384,0.08854166666666667,-0.05763299495373717,0.033854166666666664,0.38235294117647056,0.01969174003168923,0.07552083333333333,0.8529411764705882,2.926947771146864,0.0014886624780759562,0.00147257038968776,1.609208838819605e-05,0.046875,0.5294117647058824,7.1791579322737925e-06,0.07552083333333333,0.8529411764705882,0,0,0,0.0,0.013020833333333334,0.9869791666666666,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2017,aipw,384,0.09375,-0.07652888844312516,0.033854166666666664,0.3611111111111111,0.002434582583088809,0.0546875,0.5833333333333334,2.8188879955904675,0.001323486574348852,0.0012865758870378267,3.6910687311025094e-05,0.0546875,0.5833333333333334,1.4160264379848638e-06,0.059895833333333336,0.6388888888888888,0,0,0,0.0,0.018229166666666668,0.9817708333333334,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2017,ctmle,384,0.0,0.0,0.0,nan,0.0,0.0,nan,3.8881517857484025,0.00303043997538357,0.00303043997538357,0.0,0.0,nan,0.0,0.0,nan,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2017,cui_selective_ml,384,0.2604166666666667,-40.65044547764568,0.109375,0.42,0.029964483248605654,0.23697916666666666,0.91,1.0419818921158872,0.002609659422646009,0.0025358629327019164,7.379648994409321e-05,0.15625,0.6,9.949843597334628e-06,0.2265625,0.87,0,0,0,0.0,0.10416666666666667,0.8958333333333334,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2017,ma_dr_bc,384,0.09375,-0.0386022883482744,0.044270833333333336,0.4722222222222222,0.002434582583088809,0.0546875,0.5833333333333334,2.8188879955904675,0.001323486574348852,0.0012865758870378267,3.6910687311025094e-05,0.0546875,0.5833333333333334,1.4160264379848638e-06,0.059895833333333336,0.6388888888888888,0,0,0,0.0,0.018229166666666668,0.9817708333333334,0.0,0.0,0.0,0.0,0.0,0.0
IHDP,aipw,384,0.15104166666666666,-34.26437894484216,0.046875,0.3103448275862069,0.006623808306017204,0.08072916666666667,0.5344827586206896,1.5314785090802612,0.0007942943642652518,0.0007410635505295321,5.3230813735719815e-05,0.09114583333333333,0.603448275862069,1.4871934349312706e-06,0.078125,0.5172413793103449,0,0,0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0,0.0
IHDP,ctmle,384,0.0,0.0,0.0,nan,0.0,0.0,nan,2.6326120019337824,0.0031065374068160504,0.0031065374068160504,0.0,0.0,nan,0.0,0.0,nan,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
