dataset,settings,mean_p_scarcity_slope,mean_m_scarcity_slope,mean_slope_gap_m_minus_p,mean_p_r2,mean_m_r2
ACIC 2016,4,0.13341434174168934,0.4472567938134053,0.3138424520717159,0.021462869988544298,0.24799751886770316
ACIC 2017,4,0.08301217393866996,0.40493763408280137,0.32192546014413137,0.00877125542085383,0.23119377138738584
IHDP,4,-0.29771621032916706,0.0832651894460481,0.38098139977521517,0.0747694929170725,0.4479007601499817
Kang-Schafer,8,0.01534821005393853,1.4453759912829198,1.4300277812289812,0.0009483165259887433,0.3780122100474162
Twins,4,-0.6275185653325346,0.37243272763069357,0.9999512929632283,0.17898078389552435,0.4191964813653493
all,24,-0.11301863997891089,0.6997740545897978,0.8127926945687088,0.04764683921232874,0.35038549197754204
non_Kang_Schafer,16,-0.17720206499533558,0.32697308624323707,0.5041751512385727,0.07099610055549874,0.336572132942605
