method,settings,low_response_gain,low_response_gain_ci_low,low_response_gain_ci_high,high_response_gain,high_response_gain_ci_low,high_response_gain_ci_high,low_minus_high_gain,low_minus_high_gain_ci_low,low_minus_high_gain_ci_high,low_positive_settings,high_positive_settings,low_final_activation,high_final_activation,low_harm,high_harm
aipw,24,0.0586196342382,0.0444750529677,0.0703264240258,0.00120218321063,-0.00372211767291,0.00527391185798,0.0574174510276,0.0428863843248,0.0696277296568,20,13,0.240017361111,0.0946180555556,0.0989583333333,0.0421006944444
cui_selective_ml,24,0.00674524852909,-0.00363600919342,0.0161798672491,0.00534921697799,0.000945715998319,0.00944304814221,0.0013960315511,-0.00952004713841,0.0113021832405,13,13,0.215711805556,0.233506944444,0.0933159722222,0.11328125
ma_dr_bc,24,0.0147293647313,0.00582144998951,0.0226717805209,0.0117846172234,0.00742706233229,0.0159097397678,0.00294474750795,-0.00648665755688,0.0117851772012,20,21,0.15234375,0.155815972222,0.0611979166667,0.0512152777778
ctmle,24,0.00116979540549,-0.00116375289936,0.00392020751319,0.000353064948868,-0.00056667559161,0.00125522464978,0.000816730456618,-0.00170175957131,0.0037247277674,6,10,0.0134548611111,0.0399305555556,0.00520833333333,0.0177951388889
