group,setting,method,n,strength,reps,low_response_gain,low_response_gain_ci_low,low_response_gain_ci_high,high_response_gain,high_response_gain_ci_low,high_response_gain_ci_high,low_minus_high_gain,low_minus_high_gain_ci_low,low_minus_high_gain_ci_high,low_final_activation,high_final_activation,low_harm,high_harm
Kang--Schafer,"KS IC, $n=200$",aipw,200,0,96,0.208751412151,0.0998395657637,0.303954897839,0.0218365745854,0.00719470292036,0.0389458058217,0.186914837566,0.0798273530093,0.278879698378,0.322916666667,0.197916666667,0.0729166666667,0.0416666666667
Kang--Schafer,"KS IC, $n=200$",ctmle,200,0,96,0.0316655568869,-2.10953050618e-05,0.0918690980718,-0.000981703454883,-0.00471403468758,0.00260171145848,0.0326472603417,-0.0014986850324,0.0926687320616,0.0416666666667,0.166666666667,0.0104166666667,0.0833333333333
Kang--Schafer,"KS IC, $n=200$",cui_selective_ml,200,0,96,0.120640563688,0.0115947317833,0.221236844711,0.0117590455109,-0.0247658009235,0.0496631556319,0.108881518177,-0.00698319785269,0.211566181792,0.739583333333,0.666666666667,0.34375,0.34375
Kang--Schafer,"KS IC, $n=200$",ma_dr_bc,200,0,96,-0.000119004765617,-0.137626470732,0.103690557317,0.0468469443133,0.00257565244831,0.0900926475241,-0.0469659490789,-0.171249185176,0.0495729979438,0.322916666667,0.208333333333,0.145833333333,0.09375
Kang--Schafer,"KS II, $n=1000$",aipw,1000,0,96,0.0610530968851,-0.0018433146363,0.118922292348,-0.00222992977396,-0.00597710296713,0.000365385628715,0.0632830266591,-6.20912502937e-05,0.12252006775,0.427083333333,0.135416666667,0.197916666667,0.0833333333333
Kang--Schafer,"KS II, $n=1000$",ctmle,1000,0,96,0.00212209235407,0,0.00569457676069,0.000609336240784,-0.000260120099732,0.00181067018207,0.00151275611329,-0.00102381569751,0.0051110535071,0.03125,0.0625,0,0.0104166666667
Kang--Schafer,"KS II, $n=1000$",cui_selective_ml,1000,0,96,0.0110576157795,-0.0719836952782,0.0954685851008,0.0208542285188,0.0104129960735,0.0334721616344,-0.00979661273922,-0.0909479324713,0.0721214418901,0.802083333333,0.5625,0.34375,0.177083333333
Kang--Schafer,"KS II, $n=1000$",ma_dr_bc,1000,0,96,0.00846388480873,-0.00613609736294,0.0267586352867,-0.0166657815946,-0.0304438049892,-0.00413304561997,0.0251296664033,0.00564461117103,0.0467462570918,0.125,0.239583333333,0.0625,0.166666666667
Kang--Schafer,"KS II, $n=200$",aipw,200,0,96,0.151243621525,0.0327496317061,0.255072728304,-0.050009439693,-0.147018887959,0.00244376192186,0.201253061218,0.0674617472913,0.319329558326,0.239583333333,0.239583333333,0.0729166666667,0.125
Kang--Schafer,"KS II, $n=200$",ctmle,200,0,96,-0.00815766409899,-0.0265316669644,0,0.0108146782787,0.000252997127011,0.0257209263275,-0.0189723423777,-0.0407533510943,-0.00193240938691,0.0104166666667,0.125,0.0104166666667,0.0416666666667
Kang--Schafer,"KS II, $n=200$",cui_selective_ml,200,0,96,0.0734874166778,-0.0316113149317,0.170810982434,0.0892786226691,-0.00727249010046,0.175034585401,-0.0157912059913,-0.142048334629,0.102191159641,0.71875,0.822916666667,0.28125,0.34375
Kang--Schafer,"KS II, $n=200$",ma_dr_bc,200,0,96,0.026316154825,-0.00379814121619,0.0719667168464,0.026750746941,-0.000101160964306,0.0615502024005,-0.000434592116009,-0.0476633491077,0.0526443018943,0.166666666667,0.28125,0.0625,0.09375
Semi-synthetic benchmarks,"ACIC 2016 A, $s=0$",aipw,3000,0,96,0.0109926942883,-0.0180750117064,0.042528197251,-0.00051184663261,-0.00249980367857,0.000808766195271,0.0115045409209,-0.0176623747212,0.043008588109,0.104166666667,0.0416666666667,0.0625,0.0104166666667
Semi-synthetic benchmarks,"ACIC 2016 A, $s=0$",ctmle,3000,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
