dataset,rows,active_share,mean_mse_gain,harm_share,active_harm_share,mean_G_xi,positive_G_xi_share,active_positive_G_xi_share,mean_rho2,mean_bias0_sq,mean_biasg_sq,mean_bias_sq_change,positive_bias_sq_change_share,active_positive_bias_sq_change_share,mean_variance_reduction,positive_variance_reduction_share,active_positive_variance_reduction_share,variance_violations,bias_violations,variance_certified,variance_certified_share,abs_term_tighter_share,path_term_tighter_share,min_variance_slack,p05_variance_slack,median_variance_slack,min_bias_slack,p05_bias_slack,median_bias_slack
ACIC 2016,384,0.0625,-0.1076149910830244,0.0390625,0.625,0.013503729532086636,0.041666666666666664,0.6666666666666666,2.926947771146864,0.0031947894031860197,0.0031882680994592943,6.521303726725267e-06,0.03125,0.5,4.690601516336191e-06,0.041666666666666664,0.6666666666666666,0,0,0,0.0,0.0078125,0.9921875,0.0,0.0,0.0,0.0,0.0,0.0
ACIC 2017,384,0.06770833333333333,-0.053094014467700575,0.018229166666666668,0.2692307692307692,-0.004050114604043549,0.028645833333333332,0.4230769230769231,2.8188879955904675,0.0028142635218319795,0.0027959972549916503,1.8266266840329507e-05,0.0390625,0.5769230769230769,-7.253866572470635e-07,0.028645833333333332,0.4230769230769231,0,0,0,0.0,0.018229166666666668,0.9817708333333334,0.0,0.0,0.0,0.0,0.0,0.0
IHDP,384,0.13802083333333334,-0.6228662988534285,0.046875,0.33962264150943394,0.006759435550972442,0.0703125,0.5094339622641509,1.5314785090802612,0.00204174353424422,0.0019046456509339716,0.00013709788331024865,0.09635416666666667,0.6981132075471698,1.672959480340271e-06,0.0703125,0.5094339622641509,0,0,0,0.0,0.044270833333333336,0.9557291666666666,0.0,0.0,0.0,0.0,0.0,0.0
Kang-Schafer,768,0.5989583333333334,-1625.812858677991,0.33203125,0.5543478260869565,614.4033887649141,0.56640625,0.9456521739130435,3.623328862435257,15.815877937098266,14.57799543992912,1.2378824971691467,0.35546875,0.5934782608695652,2.304315514879716,0.5794270833333334,0.967391304347826,0,0,0,0.0,0.36328125,0.63671875,0.0,0.0,242539.79253078895,0.0,0.0,3831.406974366516
Twins,384,0.018229166666666668,-0.038327599176881506,0.010416666666666666,0.5714285714285714,-0.006091205998907084,0.0026041666666666665,0.14285714285714285,1.2962501159335196,0.0005804480290833853,0.0005779595508871445,2.4884781962408276e-06,0.010416666666666666,0.5714285714285714,-2.1115374161880864e-06,0.0026041666666666665,0.14285714285714285,0,0,0,0.0,0.005208333333333333,0.9947916666666666,0.0,0.0,0.0,0.0,0.0,0.0
