gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,dataset,method,reps,ref_mse,current_mse,gated_mse,current_gain,gated_gain,gated_gain_ci_low,gated_gain_ci_high,gated_minus_current_gain,current_activation,gated_activation,gamma_change_rate,current_gate_pass_rate,current_harm_rate,gated_harm_rate,mean_current_max_ratio,mean_current_ess_share,mean_allowed_count,significance_class
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,aipw,384,0.005814973099769235,0.005760255804294924,0.005814973099769235,0.009409724608439252,0.0,nan,nan,-0.009409724608439252,0.08854166666666667,0.0,0.08854166666666667,0.0026041666666666665,0.0390625,0.0,15.866103527899563,0.03327769854876828,1.0078125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,ctmle,384,0.004524202624720051,0.0045209843596300875,0.004524202624720051,0.0007113441542999643,0.0,nan,nan,-0.0007113441542999643,0.005208333333333333,0.0,0.005208333333333333,0.013020833333333334,0.0026041666666666665,0.0,5.945768887632003,0.1858509813541124,1.0390625,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,cui_selective_ml,384,0.0040312403740951795,0.003993125690821703,0.003993125690821703,0.009454827729549975,0.009454827729549975,nan,nan,0.0,0.2734375,0.2734375,0.0,1.0,0.13802083333333334,0.13802083333333334,11.394432563802903,0.16212869390580917,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,ma_dr_bc,384,0.015787916971935077,0.015685557871538493,0.015787916971935077,0.006483382233295143,0.0,nan,nan,-0.006483382233295143,0.08854166666666667,0.0,0.08854166666666667,0.0,0.033854166666666664,0.0,16.012569013363677,0.03327769854876828,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,tmle,384,0.0038161074334450637,0.0038339865753102263,0.0038200172507581727,-0.004685177809321317,-0.00102455640500132,nan,nan,0.003660621404319997,0.0625,0.018229166666666668,0.044270833333333336,0.23177083333333334,0.0390625,0.0078125,15.797033037470923,0.03327769854876828,1.6953125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,aipw,384,0.005046479628264962,0.004957127818158006,0.005046479628264962,0.01770577049523847,0.0,nan,nan,-0.01770577049523847,0.09375,0.0,0.09375,0.0078125,0.033854166666666664,0.0,15.651046147909334,0.0337702210412875,1.0234375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,ctmle,384,0.004044459664837549,0.004044459664837549,0.004044459664837549,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.018229166666666668,0.0,0.0,5.993079573562315,0.18606763704422316,1.0546875,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,cui_selective_ml,384,0.003780508425213752,0.003726742692184962,0.003726742692184962,0.014221826003667726,0.014221826003667726,nan,nan,0.0,0.2604166666666667,0.2604166666666667,0.0,1.0,0.109375,0.109375,11.825267275521782,0.1511513346828737,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,ma_dr_bc,384,0.014999762473209282,0.014912186637744428,0.014999762473209282,0.005838481484041647,0.0,nan,nan,-0.005838481484041647,0.09375,0.0,0.09375,0.0,0.044270833333333336,0.0,15.7402362282389,0.0337702210412875,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,tmle,384,0.0032939294584331783,0.0032529214182830586,0.0032932203667309294,0.01244958055951384,0.00021527227926310122,nan,nan,-0.012234308280250739,0.06770833333333333,0.015625,0.052083333333333336,0.2526041666666667,0.018229166666666668,0.005208333333333333,15.659613662388475,0.0337702210412875,1.7578125,crosses_zero
