source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,floor_share,observed_floor_share,residual_weight_ess_share,ipw_weight_ess_share,max_residual_weight_share,max_ipw_weight_share,score_tail_ratio,floor_sensitivity_se
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,1,0.05,0.11733333333333333,0.026799007444168736,0.03620336373667532,0.1741309582176389,0.011572745081892334,0.0045340540485263,15.50331735761337,3.8193643722407864
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,2,0.05,0.104,0.018137254901960786,0.034346184190770186,0.18687455078230777,0.013718285487437745,0.004727007035469495,14.579765816366791,0.5900005919804467
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,3,0.05,0.112,0.014962593516209476,0.029392303253546588,0.18907484830030238,0.01634599095878681,0.005094264643232661,14.386127558592442,2.755394579996701
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,4,0.05,0.11866666666666667,0.01332675222112537,0.028236893222964493,0.19679775064149665,0.017746739003917687,0.005177389537378775,20.604263248421656,3.9317546932714458
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,1,0.05,0.11266666666666666,0.01819970486965076,0.03590645358996348,0.18739477257320505,0.013337323061839273,0.00465860230186649,13.411078702418449,3.017049577160522
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,2,0.05,0.11733333333333333,0.014727540500736377,0.030297402468201534,0.19268590161112953,0.015775344505026857,0.004960631878060196,16.57814540588412,3.7086021532446125
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,3,0.05,0.115,0.02015732546705998,0.03416022037221645,0.1823101971182952,0.01325009264409069,0.004713222854572774,17.359954637359575,0.41638754040438414
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,4,0.05,0.10533333333333333,0.016168544830965213,0.033459250250412804,0.186129741943231,0.013802323919963196,0.004750584498394354,16.98370222610123,3.670224017154289
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029900000,1,0.05,0.112,0.017839444995044598,0.03207890794442463,0.18514948824906874,0.014563183288562324,0.004884167006140014,13.758534531281551,1.1744078058424157
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029900000,2,0.05,0.11066666666666666,0.014742014742014743,0.03185339148468145,0.19109845989165775,0.015357837355249043,0.004921442188120317,14.113247077010945,2.2214790882639943
