gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,aipw_current_gain,aipw_gated_gain,aipw_retention,selective_current_gain,selective_gated_gain,selective_retention,ctmle_gated_gain,ma_current_gain,ma_gated_gain,ma_retention,tmle_current_gain,tmle_gated_gain,tmle_gated_ci_low,tmle_gated_ci_high,tmle_recovery,tmle_activation,aipw_activation,selective_activation,ma_activation,passes_basic_goal,objective_score
veto_stable_floor_sens_le_1_floor_share_ge_0.05_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,1.0,0.05,0.2,-inf,0.25524966894297985,0.25920421831776974,1.015492867791626,0.17073237183769185,0.17135593387461445,1.0036522777151797,0.09587081174342549,0.1295058187163547,0.12735089124193788,0.9833603810564175,-0.213720844973863,-0.0020978766067480947,-0.0070012949940444266,4.099365955653741e-06,0.21162296836711492,0.004774305555555556,0.2365451388888889,0.3472222222222222,0.2669270833333333,True,4.765747985330976
veto_stable_floor_sens_le_0.75_floor_share_ge_0.05_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,0.75,0.05,0.2,-inf,0.25524966894297985,0.2603554492053939,1.0200030827995104,0.17073237183769185,0.17135593387461445,1.0036522777151797,0.09587081174342549,0.1295058187163547,0.12823232008973962,0.9901664756129274,-0.213720844973863,-0.002986185412220621,-0.007939864576483963,-4.7401066366404216e-05,0.2107346595616424,0.013020833333333334,0.2513020833333333,0.3472222222222222,0.2708333333333333,True,4.755744883564029
veto_stable_floor_sens_le_1.25_floor_share_ge_0.05_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,1.25,0.05,0.2,-inf,0.25524966894297985,0.25393235863702024,0.9948391302076326,0.17073237183769185,0.17135593387461445,1.0036522777151797,0.09620706543101065,0.1295058187163547,0.12768628111527014,0.9859501478843222,-0.213720844973863,-0.0020989552623613683,-0.007116559859123095,2.703402119016979e-06,0.21162188971150164,0.0026041666666666665,0.2222222222222222,0.3472222222222222,0.2573784722222222,True,4.75102066371602
veto_stable_floor_sens_le_1_floor_share_ge_0.1_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,1.0,0.1,0.2,-inf,0.25524966894297985,0.25920430410851436,1.01549320389684,0.17073237183769185,0.17073237183769185,1.0,0.09587081174342549,0.1295058187163547,0.12735089124193788,0.9833603810564175,-0.213720844973863,-0.0031868180360676845,-0.008993724010820093,0.0003528351820506812,0.21053402693779533,0.013454861111111112,0.23828125,0.3524305555555556,0.2669270833333333,True,4.73596144941734
veto_stable_floor_sens_le_0.75_floor_share_ge_0.1_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,0.75,0.1,0.2,-inf,0.25524966894297985,0.2603554915626859,1.0200032487440625,0.17073237183769185,0.17073237183769185,1.0,0.09587081174342549,0.1295058187163547,0.12823232008973962,0.9901664756129274,-0.213720844973863,-0.0040759513988215534,-0.010227239633201008,-4.035182355327749e-05,0.20964489357504146,0.019965277777777776,0.2521701388888889,0.3524305555555556,0.2708333333333333,True,4.7259383881149795
veto_stable_floor_sens_le_1.25_floor_share_ge_0.1_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,1.25,0.1,0.2,-inf,0.25524966894297985,0.253941501783444,0.9948749506122647,0.17073237183769185,0.17073237183769185,1.0,0.09620706543101065,0.1295058187163547,0.12768628111527014,0.9859501478843222,-0.213720844973863,-0.003187896691680958,-0.009044982496069836,0.0003584472722367083,0.21053294828218205,0.011284722222222222,0.2243923611111111,0.3524305555555556,0.2573784722222222,True,4.7212696121018025
veto_stable_floor_sens_le_0.5_floor_share_ge_0.05_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,0.5,0.05,0.2,-inf,0.25524966894297985,0.25731274610965904,1.0080825850831565,0.17073237183769185,0.17135593387461445,1.0036522777151797,0.09637274243258942,0.1295058187163547,0.12945268250438213,0.9995897001964913,-0.213720844973863,-0.0047704266074897195,-0.014579676224898369,0.003461107806414801,0.2089504183663733,0.04296875,0.2669270833333333,0.3472222222222222,0.2730034722222222,True,4.7154451286364205
veto_stable_floor_sens_le_0.5_floor_share_ge_0.1_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,0.5,0.1,0.2,-inf,0.25524966894297985,0.25731278846695116,1.0080827510277093,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.12945268250438213,0.9995897001964913,-0.213720844973863,-0.0059423524371502445,-0.01613771404084923,0.0026124316302520807,0.20777849253671277,0.04861111111111111,0.2677951388888889,0.3524305555555556,0.2730034722222222,True,4.683666796953941
veto_stable_floor_sens_le_0.5_floor_share_ge_0.05,inf,0.0,1.0,1.0,inf,0.5,0.05,inf,-inf,0.25524966894297985,0.25731274610965904,1.0080825850831565,0.17073237183769185,0.17135593387461445,1.0036522777151797,0.08370317987751041,0.1295058187163547,0.12945268250438213,0.9995897001964913,-0.213720844973863,-0.0047704266074897195,-0.014571159670284422,0.00354247701146331,0.2089504183663733,0.04296875,0.2669270833333333,0.3472222222222222,0.2730034722222222,True,4.588749503085631
veto_stable_floor_sens_le_0.5_floor_share_ge_0.1,inf,0.0,1.0,1.0,inf,0.5,0.1,inf,-inf,0.25524966894297985,0.25731278846695116,1.0080827510277093,0.17073237183769185,0.17073237183769185,1.0,0.08370317987751041,0.1295058187163547,0.12945268250438213,0.9995897001964913,-0.213720844973863,-0.0059423524371502445,-0.016058155939527717,0.002460310329115635,0.20777849253671277,0.04861111111111111,0.2677951388888889,0.3524305555555556,0.2730034722222222,True,4.556971171403151
veto_stable_floor_sens_le_0.5_floor_share_ge_0.15_resid_ess_le_0.2,inf,0.0,1.0,1.0,inf,0.5,0.15,0.2,-inf,0.25524966894297985,0.25737956395211714,1.0083443595361257,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.129452682987641,0.9995897039280524,-0.213720844973863,-0.012045668647046037,-0.03907327544858991,0.016702669077490757,0.20167517632681697,0.13020833333333334,0.2703993055555556,0.3524305555555556,0.2734375,True,4.537448820156419
