gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,method,reps,ref_mse,current_mse,gated_mse,current_gain,gated_gain,gated_gain_ci_low,gated_gain_ci_high,gated_minus_current_gain,current_activation,gated_activation,gamma_change_rate,current_gate_pass_rate,current_harm_rate,gated_harm_rate,mean_current_max_ratio,mean_current_ess_share,mean_allowed_count,significance_class
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,aipw,2304,13.140365955068683,9.786291895247798,13.14341223670634,0.25524966894297985,-0.0002318262404619187,-0.0007484988135879889,0.0,-0.25548149518344176,0.2738715277777778,0.0008680555555555555,0.2730034722222222,0.004774305555555556,0.10069444444444445,0.0008680555555555555,14.447508013385836,0.0438841605202596,1.0143229166666667,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ctmle,2304,2.7228057604301115,2.4604015021862096,2.712701564814339,0.09637274243258942,0.003710949845418421,-0.000781869558973125,0.008686976540322426,-0.092661792587171,0.265625,0.023871527777777776,0.2417534722222222,0.038628472222222224,0.08506944444444445,0.007378472222222222,5.495010455034829,0.2234267217092989,1.1158854166666667,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,cui_selective_ml,2304,2.1478789202038886,1.7811664577372983,1.7811664577372983,0.17073237183769185,0.17073237183769185,0.10699029238437578,0.23372281743714346,0.0,0.3524305555555556,0.3524305555555556,0.0,1.0,0.1449652777777778,0.1449652777777778,9.772391546231535,0.13605965863796032,4.0,win
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ma_dr_bc,2304,10.495199503845802,9.136010099508772,10.495199503845802,0.1295058187163547,0.0,0.0,0.0,-0.1295058187163547,0.2738715277777778,0.0,0.2738715277777778,0.0,0.1015625,0.0,13.813901367045867,0.0438841605202596,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,tmle,2304,2.237820957816956,2.7160899438218156,2.634843463280236,-0.213720844973863,-0.1774147766721177,-0.28734476727149966,-0.0814766327057331,0.03630606830174532,0.24739583333333334,0.09505208333333333,0.15234375,0.27734375,0.12977430555555555,0.051215277777777776,14.361313314862473,0.0438841605202596,1.83203125,loss
floor_sens_le_0.25_floor_share_le_0.02,0.25,0.0,0.02,1.0,inf,-inf,inf,inf,-inf,aipw,2304,13.140365955068683,9.786291895247798,13.140365955068683,0.25524966894297985,0.0,0.0,0.0,-0.25524966894297985,0.2738715277777778,0.0,0.2738715277777778,0.0,0.10069444444444445,0.0,14.447508013385836,0.0438841605202596,1.0,crosses_zero
floor_sens_le_0.25_floor_share_le_0.02,0.25,0.0,0.02,1.0,inf,-inf,inf,inf,-inf,ctmle,2304,2.7228057604301115,2.4604015021862096,2.7228057604301115,0.09637274243258942,0.0,0.0,0.0,-0.09637274243258942,0.265625,0.0,0.265625,0.0,0.08506944444444445,0.0,5.495010455034829,0.2234267217092989,1.0,crosses_zero
floor_sens_le_0.25_floor_share_le_0.02,0.25,0.0,0.02,1.0,inf,-inf,inf,inf,-inf,cui_selective_ml,2304,2.1478789202038886,1.7811664577372983,1.7911018004174244,0.17073237183769185,0.16610671878682848,0.10080030380399839,0.22940459564699495,-0.004625653050863376,0.3524305555555556,0.3311631944444444,0.021267361111111112,0.9305555555555556,0.1449652777777778,0.1362847222222222,9.772391546231535,0.13605965863796032,3.7916666666666665,win
floor_sens_le_0.25_floor_share_le_0.02,0.25,0.0,0.02,1.0,inf,-inf,inf,inf,-inf,ma_dr_bc,2304,10.495199503845802,9.136010099508772,10.495199503845802,0.1295058187163547,0.0,0.0,0.0,-0.1295058187163547,0.2738715277777778,0.0,0.2738715277777778,0.0,0.1015625,0.0,13.813901367045867,0.0438841605202596,1.0,crosses_zero
floor_sens_le_0.25_floor_share_le_0.02,0.25,0.0,0.02,1.0,inf,-inf,inf,inf,-inf,tmle,2304,2.237820957816956,2.7160899438218156,2.237820957816956,-0.213720844973863,0.0,0.0,0.0,0.213720844973863,0.24739583333333334,0.0,0.24739583333333334,0.0,0.12977430555555555,0.0,14.361313314862473,0.0438841605202596,1.0,crosses_zero
floor_sens_le_0.25_floor_share_le_0.05,0.25,0.0,0.05,1.0,inf,-inf,inf,inf,-inf,aipw,2304,13.140365955068683,9.786291895247798,13.140365955068683,0.25524966894297985,0.0,0.0,0.0,-0.25524966894297985,0.2738715277777778,0.0,0.2738715277777778,0.0,0.10069444444444445,0.0,14.447508013385836,0.0438841605202596,1.0,crosses_zero
floor_sens_le_0.25_floor_share_le_0.05,0.25,0.0,0.05,1.0,inf,-inf,inf,inf,-inf,ctmle,2304,2.7228057604301115,2.4604015021862096,2.7228057604301115,0.09637274243258942,0.0,0.0,0.0,-0.09637274243258942,0.265625,0.0,0.265625,0.0,0.08506944444444445,0.0,5.495010455034829,0.2234267217092989,1.0,crosses_zero
