gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,gated_mse,current_gain,gated_gain,gated_gain_ci_low,gated_gain_ci_high,gated_minus_current_gain,current_activation,gated_activation,gamma_change_rate,current_gate_pass_rate,current_harm_rate,gated_harm_rate,mean_current_max_ratio,mean_current_ess_share,mean_allowed_count,significance_class
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ctmle,3000,0.0,96,0.0010416340433206303,0.0010416340433206303,0.0010416340433206303,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,5.9434939627637675,0.18530480718294565,1.03125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,cui_selective_ml,3000,0.0,96,0.0008727575597326152,0.0008616630302638576,0.0008616630302638576,0.012712040526072999,0.012712040526072999,nan,nan,0.0,0.19791666666666666,0.19791666666666666,0.0,1.0,0.08333333333333333,0.08333333333333333,8.970358245392491,0.1979033144173374,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ma_dr_bc,3000,0.0,96,0.010874359301053979,0.010579798731631597,0.010874359301053979,0.027087625235431734,0.0,nan,nan,-0.027087625235431734,0.07291666666666667,0.0,0.07291666666666667,0.0,0.03125,0.0,16.201246828559686,0.032877502369614106,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,tmle,3000,0.0,96,0.0015815139172649052,0.001592681373479997,0.0015795924941368821,-0.007061244351491469,0.0012149264745934252,nan,nan,0.008276170826084894,0.052083333333333336,0.010416666666666666,0.041666666666666664,0.23958333333333334,0.041666666666666664,0.0,15.902850033693364,0.032877502369614106,1.71875,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,aipw,3000,3.0,96,0.005449742876996327,0.005404852874417824,0.005449742876996327,0.008237086334473953,0.0,nan,nan,-0.008237086334473953,0.08333333333333333,0.0,0.08333333333333333,0.0,0.03125,0.0,15.737409485196556,0.03319275368013897,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,ctmle,3000,3.0,96,0.0011959498511479572,0.0011959498511479572,0.0011959498511479572,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,5.871524428710718,0.18682935465697922,1.0625,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,cui_selective_ml,3000,3.0,96,0.0012134640717155725,0.00123121543278621,0.00123121543278621,-0.014628666381148792,-0.014628666381148792,nan,nan,0.0,0.4375,0.4375,0.0,1.0,0.3020833333333333,0.3020833333333333,9.611962776431499,0.1729759941309853,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,ma_dr_bc,3000,3.0,96,0.009993693751247909,0.010034089729717114,0.009993693751247909,-0.0040421469253209,0.0,nan,nan,0.0040421469253209,0.08333333333333333,0.0,0.08333333333333333,0.0,0.052083333333333336,0.0,15.622687725421374,0.03319275368013897,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,tmle,3000,3.0,96,0.0018527137182205965,0.0018808162379504898,0.0018660448237134578,-0.015168301207854062,-0.007195448148170858,nan,nan,0.007972853059683205,0.07291666666666667,0.041666666666666664,0.03125,0.28125,0.041666666666666664,0.020833333333333332,15.746176570865217,0.03319275368013897,1.84375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,aipw,3000,0.0,96,0.004664962367770018,0.004433499543851026,0.004664962367770018,0.04961729713366103,0.0,nan,nan,-0.04961729713366103,0.0625,0.0,0.0625,0.03125,0.0,0.0,15.48846322120256,0.03384811454423187,1.09375,crosses_zero
