method,settings,low_response_gain,low_response_gain_ci_low,low_response_gain_ci_high,high_response_gain,high_response_gain_ci_low,high_response_gain_ci_high,low_minus_high_gain,low_minus_high_gain_ci_low,low_minus_high_gain_ci_high,low_positive_settings,high_positive_settings,low_final_activation,high_final_activation,low_harm,high_harm
aipw,24,0.0605986206802,0.0460853463975,0.0733230721948,0.00253268078575,-0.000927924950783,0.00600471239741,0.0580659398944,0.0434464493164,0.0708194552208,20,14,0.235677083333,0.251736111111,0.0946180555556,0.118489583333
cui_selective_ml,24,0.0159836467419,0.00305771049932,0.0279129628326,0.00432447705383,0.000292244867341,0.00807011172512,0.0116591696881,-0.00155821113772,0.0240716032443,10,15,0.289930555556,0.294270833333,0.120659722222,0.149739583333
ma_dr_bc,24,0.0378113980863,0.0260473375793,0.048321140156,0.00771641738503,0.00205587910047,0.0128112579372,0.0300949807013,0.0169930817099,0.0423035154801,17,15,0.235677083333,0.251736111111,0.0785590277778,0.0963541666667
ctmle,24,0.0355344707385,0.0280478801117,0.0426103002326,-0.00344645769288,-0.00537199030519,-0.00150720376111,0.0389809284314,0.0309933007305,0.0464941847699,15,8,0.253472222222,0.258680555556,0.0807291666667,0.149305555556
