method,rows,active_share,mean_mse_gain,harm_share,active_harm_share,mean_G_xi,positive_G_xi_share,active_positive_G_xi_share,mean_rho2,mean_bias0_sq,mean_biasg_sq,mean_bias_sq_change,positive_bias_sq_change_share,active_positive_bias_sq_change_share,mean_variance_reduction,positive_variance_reduction_share,active_positive_variance_reduction_share,variance_violations,bias_violations,variance_certified,variance_certified_share,abs_term_tighter_share,path_term_tighter_share,min_variance_slack,p05_variance_slack,median_variance_slack,min_bias_slack,p05_bias_slack,median_bias_slack
aipw,2304,0.2738715277777778,-26.605814755432455,0.10069444444444445,0.3676703645007924,254.6977340243104,0.23958333333333334,0.8748019017432647,2.6367036861036044,9.723990836944337,7.109195400645771,2.614795436298565,0.1896701388888889,0.6925515055467512,1.0332313692301487,0.2439236111111111,0.8906497622820919,0,0,0,0.0,0.15625,0.84375,0.0,0.0,0.0,0.0,0.0,0.0
ctmle,2304,0.265625,-20.250854240798105,0.08506944444444445,0.3202614379084967,4.587400001172474,0.2634548611111111,0.9918300653594772,3.5428576412403108,1.087337194227673,0.8406344402951672,0.24670275393250587,0.2417534722222222,0.9101307189542484,-0.026874790912184764,0.01953125,0.07352941176470588,0,0,0,0.0,0.15321180555555555,0.8467881944444444,0.0,0.0,0.0,0.0,0.0,0.0
cui_selective_ml,2304,0.3524305555555556,-434.1828930825264,0.1449652777777778,0.41133004926108374,50040683.63938171,0.3155381944444444,0.895320197044335,10.254828603826367,28444.599948083323,23247.666558274825,5196.933389808497,0.2543402777777778,0.7216748768472906,251858.29949258215,0.3125,0.8866995073891626,0,0,0,0.0,0.22395833333333334,0.7760416666666666,0.0,0.0,0.0,0.0,0.0,0.0
ma_dr_bc,2304,0.2738715277777778,-8.053798085111415,0.1015625,0.36450079239302696,254.6977340243104,0.23958333333333334,0.8748019017432647,2.6367036861036044,9.723990836944337,7.109195400645771,2.614795436298565,0.1896701388888889,0.6925515055467512,1.0332313692301487,0.2439236111111111,0.8906497622820919,0,0,0,0.0,0.15625,0.84375,0.0,0.0,0.0,0.0,0.0,0.0
