scenario,n_train,n_validation,n_estimation,reps,selected_mse,baseline_mse,mse_gain_pct,selected_fresh_risk,baseline_fresh_risk,fresh_risk_gain_pct,oracle_fresh_risk,oracle_gain_pct,mean_theorem_rhs,fresh_violations,estimation_sq_error_over_rhs_count,reused_validation_mse,reused_to_honest_ratio,selected_share_gamma_0,selected_share_gamma_0.25,selected_share_gamma_0.5,selected_share_gamma_1
correct_response_clear,1000,500,500,3000,0.006748470345006533,0.010091667482179788,33.128292654081065,0.007078203508768227,0.010537833365711883,32.830561434010114,0.00704247882488826,33.169574992491775,0.010154968860869026,0,691,0.00700737184749932,1.0383644721332084,0.0,0.0,0.058333333333333334,0.9416666666666667
correct_response_clear,4000,2000,2000,1200,0.0017699314876108048,0.0026632083533435135,33.541381192021575,0.001743599570533152,0.0026196193042238736,33.44072676049637,0.001743599570533152,33.44072676049637,0.0021237735684211854,0,333,0.0016366046859439599,0.9246712075579716,0.0,0.0,0.0,1.0
correct_response_clear,16000,8000,8000,300,0.0004379971826850518,0.0006399490579635894,31.557492391844086,0.00043497944324860465,0.0006548551655517283,33.57623698636844,0.00043497944324860465,33.57623698636844,0.0004843347381871535,0,85,0.0004501735061366987,1.027800004047977,0.0,0.0,0.0,1.0
correct_response_near_tie,1000,500,500,3000,0.006284984280883668,0.006327099521261592,0.6656326526301626,0.006386462291750933,0.0064058437663043815,0.30255927650620484,0.00635142074139643,0.8495840188020786,0.006790488644174698,0,854,0.006576384979060127,1.046364586632743,0.6316666666666667,0.04833333333333333,0.09233333333333334,0.22766666666666666
correct_response_near_tie,4000,2000,2000,1200,0.0016475285745448755,0.001655292585522601,0.4690416090563342,0.0015851430530475247,0.001595454381913797,0.6462941832221869,0.0015797569262854937,0.9838862086093488,0.0016299770439611107,0,383,0.001662263053185642,1.008943382754279,0.2991666666666667,0.07833333333333334,0.20333333333333334,0.4191666666666667
correct_response_near_tie,16000,8000,8000,300,0.0004053123345006005,0.00040727611509147865,0.48217425920914714,0.000394501203231835,0.00039851339896941526,1.0067906745309116,0.0003942740635386157,1.063787426410958,0.00040024649348122826,0,98,0.0003764576129131975,0.928808676343502,0.016666666666666666,0.01,0.19333333333333333,0.78
misspecified_response_tradeoff,1000,500,500,3000,0.007559714681480195,0.011368591021752847,33.50350393452176,0.007670891698690043,0.011376667997562285,32.57347669516496,0.007617932046433951,33.038987794437965,0.02461388187989528,0,233,0.007867145224776138,1.0406669505727626,0.0,0.0003333333333333333,0.07566666666666666,0.924
misspecified_response_tradeoff,4000,2000,2000,1200,0.0019136553731854899,0.00299846474086687,36.178826880844255,0.0018877192482558037,0.002869613121556578,34.216942553153686,0.0018870475883506755,34.24034849244504,0.005373845903274729,0,122,0.0018192561936237743,0.9506707524852932,0.0,0.0,0.0033333333333333335,0.9966666666666667
misspecified_response_tradeoff,16000,8000,8000,300,0.0005195089346599911,0.0008492441433254801,38.82690404838213,0.00047057353163241204,0.0007548177280353442,37.65732915981837,0.00047057353163241204,37.65732915981837,0.0012692096081170948,0,41,0.0005390296821299016,1.037575383535389,0.0,0.0,0.0,1.0
clipped_response_tail,1000,500,500,3000,0.0053039981963021255,0.015268547278144867,65.26193291555525,0.005185376931855414,0.015499147464997219,66.54411512913272,0.005109007716131694,67.03684684806237,0.04517534507312396,0,12,0.005704669193657492,1.0755413147830082,0.0,0.0,0.043333333333333335,0.9566666666666667
clipped_response_tail,4000,2000,2000,1200,0.0013168878766801745,0.010683550127588396,87.67368654657648,0.0012689139329094797,0.010647291928683753,88.08228475927261,0.0012680432238269194,88.09046251083981,0.01066522011115039,0,4,0.0013538284354266774,1.0280514077171312,0.0,0.0,0.0008333333333333334,0.9991666666666666
clipped_response_tail,16000,8000,8000,300,0.00030011772155014415,0.009382693756781595,96.80136931536079,0.00031817233532778553,0.009400387177352235,96.61532733359816,0.00031817233532778553,96.61532733359816,0.002627042739193965,0,0,0.00031334528724692127,1.0440745905588484,0.0,0.0,0.0,1.0
