method,c,settings,reps,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
aipw,0,24,2304,0.0904850221148,0.0706136702864,0.106778072659,0.276909722222,0.106336805556,0.276909722222
cui_selective_ml,0,24,2304,0.0494791437543,0.0351723294227,0.0628830217015,0.326822916667,0.125868055556,0.326822916667
ma_dr_bc,0,24,2304,0.057934630067,0.0453627105513,0.0694556688517,0.223090277778,0.0811631944444,0.223090277778
ctmle,1,24,2304,0.000509944922603,-0.000514519947578,0.00187713308814,0.00217013888889,0.00130208333333,0.00113491505177
