summary,method,c,settings,reps,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
ihdp,aipw,4.75,4,384,0.00275103791677,-0.00294130243529,0.00968404314686,0.0182291666667,0.00520833333333,0.00377074279535
ihdp,aipw,5,4,384,0.002110054297,-0.00289528926006,0.00819712540988,0.0182291666667,0.00520833333333,0.00300977311791
ihdp,aipw,6,4,384,0.000632963015744,-0.00195025045523,0.00376017599007,0.0104166666667,0.00520833333333,0.00103768717387
ihdp,aipw,8,4,384,0,0,0,0,0,0
ihdp,aipw,10,4,384,0,0,0,0,0,0
acic2016,aipw,0,4,384,0.0057472210063,-0.00613557761954,0.0182735396716,0.0859375,0.0390625,0.0859375
acic2016,aipw,0.25,4,384,0.00461052739161,-0.00581180791485,0.0155453656622,0.0625,0.0286458333333,0.0471306224589
acic2016,aipw,0.5,4,384,0.0037505106232,-0.00542604310234,0.0132758219968,0.0546875,0.0260416666667,0.0342690483724
acic2016,aipw,0.75,4,384,0.00268351868777,-0.00537523346063,0.0108725678813,0.046875,0.0182291666667,0.0256595357683
acic2016,aipw,1,4,384,0.00149337315522,-0.00556563650809,0.00839575300164,0.0364583333333,0.015625,0.0200710797771
acic2016,aipw,1.25,4,384,0.000235802841432,-0.00593669935168,0.00595606731353,0.0364583333333,0.015625,0.0159742663881
acic2016,aipw,1.5,4,384,-0.00053051177259,-0.00597532469898,0.00424628456675,0.0286458333333,0.015625,0.0127235581958
acic2016,aipw,1.75,4,384,-0.000949669064217,-0.00573828123886,0.00296396111241,0.0260416666667,0.015625,0.0102429629691
acic2016,aipw,2,4,384,-0.00138922622117,-0.00569570488418,0.00194377763354,0.0234375,0.0130208333333,0.00821350148446
acic2016,aipw,2.25,4,384,-0.00134083314465,-0.00522653577665,0.00162725411613,0.0182291666667,0.0130208333333,0.00681177891495
acic2016,aipw,2.5,4,384,-0.00114703697488,-0.00466003206152,0.00146954654754,0.0182291666667,0.0130208333333,0.00554318027587
acic2016,aipw,2.75,4,384,-0.000965937327975,-0.00411091701387,0.0013073100959,0.0130208333333,0.0104166666667,0.00437161623605
acic2016,aipw,3,4,384,-0.000835371342612,-0.00362655144231,0.00111873826555,0.0130208333333,0.0104166666667,0.00358532377266
acic2016,aipw,3.25,4,384,-0.000716092806308,-0.00316440168882,0.000918456037739,0.0104166666667,0.0078125,0.00284214498181
acic2016,aipw,3.5,4,384,-0.000662716074109,-0.00277496513587,0.000661670399423,0.0078125,0.00520833333333,0.0023727752593
acic2016,aipw,3.75,4,384,-0.000643820095499,-0.00243677489455,0.00036420711756,0.0078125,0.00520833333333,0.0019842234921
acic2016,aipw,4,4,384,-0.000627948998412,-0.00211045977076,7.40037546629e-05,0.0078125,0.00520833333333,0.00159567172491
acic2016,aipw,4.25,4,384,-0.000533892196799,-0.0017244190455,0,0.00520833333333,0.00520833333333,0.00131861545147
acic2016,aipw,4.5,4,384,-0.000406640199557,-0.00131437404408,0,0.00520833333333,0.00520833333333,0.00108980851724
acic2016,aipw,4.75,4,384,-0.000281145161628,-0.000908119787829,0,0.00520833333333,0.00520833333333,0.000861001583014
acic2016,aipw,5,4,384,-0.000157407083011,-0.000505647829432,0,0.00520833333333,0.00520833333333,0.000632194648787
acic2016,aipw,6,4,384,-1.46169421567e-08,-5.25303374549e-08,0,0.00260416666667,0.00260416666667,5.24190466329e-05
acic2016,aipw,8,4,384,0,0,0,0,0,0
acic2016,aipw,10,4,384,0,0,0,0,0,0
acic2017,aipw,0,4,384,0.0183469119286,0.00280168939803,0.038047959673,0.0859375,0.0286458333333,0.0859375
acic2017,aipw,0.25,4,384,0.0169432209402,0.00262094317661,0.0354891812736,0.0546875,0.015625,0.0392296223
acic2017,aipw,0.5,4,384,0.0155936768232,0.00216545142057,0.0330832946017,0.0416666666667,0.0104166666667,0.0280420345572
acic2017,aipw,0.75,4,384,0.0139790145794,0.0013205982066,0.0306219120283,0.0416666666667,0.0104166666667,0.0212297185025
acic2017,aipw,1,4,384,0.0125740752172,0.000543583145865,0.0284229087816,0.0260416666667,0.00520833333333,0.0163271200339
acic2017,aipw,1.25,4,384,0.0117514685549,0.000394306772819,0.0267231302008,0.0234375,0.00520833333333,0.0143492008609
acic2017,aipw,1.5,4,384,0.0109181263728,0.000196400370044,0.02505923174,0.0234375,0.00520833333333,0.0125315410331
acic2017,aipw,1.75,4,384,0.0102454283435,0.000134579899733,0.0234774152414,0.0182291666667,0.00260416666667,0.0111934043349
acic2017,aipw,2,4,384,0.00957199132763,0.000111255504115,0.0219771682234,0.0182291666667,0.00260416666667,0.0101882954303
acic2017,aipw,2.25,4,384,0.0088805971849,9.4564034571e-05,0.0203853976,0.0182291666667,0.00260416666667,0.00918318652578
acic2017,aipw,2.5,4,384,0.00817124591528,5.60094364749e-05,0.0187873771632,0.0182291666667,0.00260416666667,0.00817807762124
acic2017,aipw,2.75,4,384,0.0074785795355,0,0.0172602952311,0.015625,0.00260416666667,0.00724009342322
acic2017,aipw,3,4,384,0.00686345247591,0,0.0157832482468,0.0130208333333,0.00260416666667,0.00648942209951
acic2017,aipw,3.25,4,384,0.00628098623306,0,0.014397611711,0.0130208333333,0.00260416666667,0.00594513783003
acic2017,aipw,3.5,4,384,0.00568597161618,0,0.0130041798178,0.0130208333333,0.00260416666667,0.00540085356054
acic2017,aipw,3.75,4,384,0.00507840862528,5.57316210958e-05,0.0116354450472,0.0130208333333,0.00260416666667,0.00485656929106
acic2017,aipw,4,4,384,0.00445829726035,8.6109933553e-05,0.0103385698705,0.0130208333333,0.00260416666667,0.00431228502157
acic2017,aipw,4.25,4,384,0.0038256375214,9.7918279602e-05,0.0091238266458,0.0130208333333,0.00260416666667,0.00376800075209
acic2017,aipw,4.5,4,384,0.00318042940843,7.82481510251e-05,0.007978854598,0.0130208333333,0.00260416666667,0.0032237164826
acic2017,aipw,4.75,4,384,0.00271584059786,-1.10617256693e-05,0.00719528995474,0.0104166666667,0.00260416666667,0.00273391732811
acic2017,aipw,5,4,384,0.00247954438944,0,0.0066809122747,0.0078125,0,0.00244572295128
acic2017,aipw,6,4,384,0.00181996322155,0,0.00484560947583,0.00520833333333,0,0.00185632453145
acic2017,aipw,8,4,384,0.000512275381261,0,0.00181842582296,0.00260416666667,0,0.000764719386212
acic2017,aipw,10,4,384,0.000214224114681,0,0.000760432135302,0.00260416666667,0,0.000304857566098
twins,aipw,0,4,384,0.00292039988819,-0.000919920008312,0.00937850526669,0.0234375,0.0104166666667,0.0234375
twins,aipw,0.25,4,384,0.00285405559127,-0.00031930553315,0.00867686099715,0.0104166666667,0.00520833333333,0.00738503526214
twins,aipw,0.5,4,384,0.0027502098569,-8.27393975388e-05,0.00799613510004,0.0078125,0.00260416666667,0.00622223946196
twins,aipw,0.75,4,384,0.0025523587908,0,0.00724057834718,0.0078125,0,0.00542710919294
twins,aipw,1,4,384,0.00231103950149,0,0.00640278975392,0.0078125,0,0.00463197892392
twins,aipw,1.25,4,384,0.00202625198897,0,0.00548498972838,0.0078125,0,0.0038368486549
twins,aipw,1.5,4,384,0.00169799625324,0,0.00449967347967,0.0078125,0,0.00304171838588
twins,aipw,1.75,4,384,0.00132627229431,0,0.00349382527123,0.0078125,0,0.00224658811686
twins,aipw,2,4,384,0.000949896032922,0,0.00256227485809,0.00520833333333,0,0.00163661523511
twins,aipw,2.25,4,384,0.000584970612941,0,0.00184225007405,0.00520833333333,0,0.00119015047283
twins,aipw,2.5,4,384,0.00044418029244,0,0.00155550287758,0.00260416666667,0,0.000950649528368
twins,aipw,2.75,4,384,0.000381937849014,0,0.00133753215374,0.00260416666667,0,0.000785297814538
twins,aipw,3,4,384,0.00031337177087,0,0.00109741629612,0.00260416666667,0,0.000619946100708
twins,aipw,3.25,4,384,0.000238482058005,0,0.000835155304707,0.00260416666667,0,0.000454594386878
twins,aipw,3.5,4,384,0.000157268710421,0,0.000550749179503,0.00260416666667,0,0.000289242673048
twins,aipw,3.75,4,384,6.97317281174e-05,0,0.000244197920509,0.00260416666667,0,0.000123890959218
twins,aipw,4,4,384,0,0,0,0,0,0
twins,aipw,4.25,4,384,0,0,0,0,0,0
twins,aipw,4.5,4,384,0,0,0,0,0,0
twins,aipw,4.75,4,384,0,0,0,0,0,0
twins,aipw,5,4,384,0,0,0,0,0,0
twins,aipw,6,4,384,0,0,0,0,0,0
twins,aipw,8,4,384,0,0,0,0,0,0
twins,aipw,10,4,384,0,0,0,0,0,0
kang_schafer,cui_selective_ml,0,8,768,0.113113127344,0.0784227151329,0.145131080795,0.515625,0.1875,0.515625
kang_schafer,cui_selective_ml,0.25,8,768,0.101463568938,0.0705440453806,0.130805493212,0.352864583333,0.109375,0.253353129068
kang_schafer,cui_selective_ml,0.5,8,768,0.091333029803,0.0630054773008,0.118737212384,0.2890625,0.08203125,0.188619817462
kang_schafer,cui_selective_ml,0.75,8,768,0.0799074235997,0.0536371272126,0.105920860538,0.25,0.0729166666667,0.147228193547
kang_schafer,cui_selective_ml,1,8,768,0.0699849570316,0.0451015811024,0.0949867919774,0.21484375,0.05859375,0.119230454443
kang_schafer,cui_selective_ml,1.25,8,768,0.0615711438602,0.0382493062811,0.0853661005113,0.192708333333,0.05078125,0.097206436324
kang_schafer,cui_selective_ml,1.5,8,768,0.054499908591,0.0324746554769,0.0773942886379,0.16796875,0.0442708333333,0.0801795443867
kang_schafer,cui_selective_ml,1.75,8,768,0.0493286898867,0.0286494924832,0.070958164722,0.147135416667,0.0364583333333,0.0670342533958
