source,dataset,setting,group,design,method,n,strength,seed0,rep,response_bin,response_bin_label,n_share,mean_true_pi,min_true_pi,max_true_pi,rho,action_square_contribution,weighted_action_square_contribution,absolute_action_contribution,ref_weighted_residual_square_contribution,selected_weighted_residual_square_contribution,weighted_residual_square_delta,weighted_residual_square_reduction,ref_unweighted_residual_square_contribution,selected_unweighted_residual_square_contribution,unweighted_residual_square_delta,unweighted_residual_square_reduction,selected_gamma,c2_weight
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030000000,2,1,lowest_response,0.25,0.2973132347427619,0.05,0.7043324307435951,4.083307831605109,0.0,0.0,0.0,1.517386291781933,1.517386291781933,0.0,0.0,0.1363341214508498,0.1363341214508498,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030000000,3,1,lowest_response,0.25,0.32575924737901824,0.05,0.7076317433867945,4.416783333328477,0.0,0.0,0.0,1.3649198399119546,1.3649198399119546,0.0,0.0,0.13325801340316729,0.13325801340316729,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030000000,4,1,lowest_response,0.25,0.30115770325626606,0.05,0.7014913559675068,3.929457484432304,0.0,0.0,0.0,1.4479992771235635,1.4479992771235635,0.0,0.0,0.12892093322993284,0.12892093322993284,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,1,1,lowest_response,0.25,0.29222771644796225,0.05,0.7035076025827953,4.234143021270804,0.0,0.0,0.0,1.8261204362493277,1.8261204362493277,0.0,0.0,0.14360811513960015,0.14360811513960015,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,2,1,lowest_response,0.25,0.29814840797056175,0.05,0.7041491355967507,4.226334805388747,0.0,0.0,0.0,1.6499256901198271,1.6499256901198271,0.0,0.0,0.14702034106150416,0.14702034106150416,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,3,1,lowest_response,0.25,0.3265333416649309,0.05,0.7059820870651948,3.595509783664084,0.0,0.0,0.0,1.3118974880914327,1.3118974880914327,0.0,0.0,0.14363872897194346,0.14363872897194346,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030100000,4,1,lowest_response,0.25,0.2734823661737138,0.05,0.7032784836492398,4.359934672937,0.0,0.0,0.0,2.304140087465786,2.304140087465786,0.0,0.0,0.15919557248881988,0.15919557248881988,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,1,1,lowest_response,0.25,0.28112747622023193,0.05,0.7048364923974173,4.245462500143666,0.0,0.0,0.0,2.0718016431663915,2.0718016431663915,0.0,0.0,0.1588712471959866,0.1588712471959866,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,2,1,lowest_response,0.25,0.32046923279872247,0.05,0.7088689856279942,4.0380179785283525,0.0,0.0,0.0,1.4744594564450166,1.4744594564450166,0.0,0.0,0.1265258026012601,0.1265258026012601,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,3,1,lowest_response,0.25,0.31367892800111086,0.05,0.7035076025827953,3.999436197459996,0.0,0.0,0.0,1.3125185512687843,1.3125185512687843,0.0,0.0,0.1255760278367989,0.1255760278367989,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030200000,4,1,lowest_response,0.25,0.3033705422481428,0.05,0.7032326598625287,4.171871144949768,0.0,0.0,0.0,1.400068946567206,1.400068946567206,0.0,0.0,0.1334855243584224,0.1334855243584224,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,1,1,lowest_response,0.25,0.2897493244462959,0.05,0.7039658404499063,4.371470998961295,0.0,0.0,0.0,1.9475778084909896,1.9475778084909896,0.0,0.0,0.15442126915047688,0.15442126915047688,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,2,1,lowest_response,0.25,0.2704406470874124,0.05,0.7023161841283067,4.600182604573465,0.0,0.0,0.0,1.609183427474487,1.609183427474487,0.0,0.0,0.13502558949083093,0.13502558949083093,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,3,1,lowest_response,0.25,0.3360481844060265,0.05,0.7104269943761716,3.9803101587625416,0.0,0.0,0.0,1.2929865168536345,1.2929865168536345,0.0,0.0,0.12650335184905775,0.12650335184905775,0.0,0.0,0.0,0.0
