rho_bin,setting_methods,rho_min,rho_max,mean_rho,mean_selected_gain_pct,mean_weighted_residual_reduction_pct,mean_weighted_residual_square_delta,median_weighted_residual_reduction_pct,median_selected_gain_pct,wins,losses,crosses_zero,mean_path_activation,mean_selected_harm_rate
1,24,0.20462238816908637,0.4859343374290144,0.406303146459075,6.00982012369371,8.14599266558173,104.75480024334736,0.0,0.0050374828927668425,9,0,15,0.3485243055555556,0.12369791666666667
2,24,0.4963182710677636,1.7031833480980765,0.6958195353957035,3.37159212576072,2.460163364055805,57.747465323950046,0.0,0.07489341640496416,6,0,18,0.24479166666666666,0.10633680555555557
3,24,1.7031833480980765,3.108653634700655,2.467827462427957,10.73731987536126,5.451525713736455,37.192638726847655,-0.1544568642704247,4.634050584512778,13,0,11,0.34765625,0.11241319444444443
4,24,3.3246490564325604,4.1915966024293185,3.891242831038548,6.653342319350725,2.251772028472193,34.81396822527495,-0.28740862872924655,1.5279400101715246,6,0,18,0.22482638888888887,0.08984375
