dataset,setting_methods,mean_rho,mean_selected_gain_pct,mean_weighted_residual_reduction_pct,mean_weighted_residual_square_delta,median_weighted_residual_reduction_pct,median_selected_gain_pct,wins,losses,crosses_zero,ols_intercept_gain_pct,ols_slope_gain_pct_per_rho,nonnegative_slope_gain_pct_per_rho,pearson_r,spearman_r,ols_intercept_weighted_residual_reduction_pct,ols_slope_weighted_residual_reduction_pct_per_rho,pearson_r_weighted_residual_reduction
ACIC 2016,16,2.3426263840845656,0.41742407986386787,0.01855932699127219,0.0013777874018356603,-0.012689748104255383,0.08907957117816334,2,0,14,0.004634804917520513,0.17620789971067202,0.17620789971067202,0.31256109582783004,0.19526627218934914,0.5403160022168649,-0.2227229569214815,-0.5370788293165518
ACIC 2017,16,2.3213390249243435,0.6012893713210337,-0.2870794133754684,-0.00179797337635558,-0.11760905379534226,0.0,2,0,14,0.016013230485680537,0.2521286785563038,0.2521286785563038,0.2815512937629328,0.19465275118557598,0.36638412327733016,-0.2815028436762252,-0.4944504284590816
IHDP,16,1.7776292858786797,1.5712257622420145,-1.4624687936424394,-0.016090622690005614,-1.0674630376692251,0.44209015093865656,5,0,11,-0.6442095988882213,1.2462864888250011,1.2462864888250011,0.7243109547772694,0.4844030296679219,0.2742697417226961,-0.9769970314742353,-0.8102752375768845
Kang-Schafer,32,1.7657195267836283,17.88868817803807,14.913412317593346,175.88909742510063,10.620378809276176,14.964864231218057,24,0,8,11.937673635593384,3.3703056754913074,3.3703056754913074,0.322541357919097,0.25953785415137426,17.892804294444367,-1.6873529072186069,-0.1433751976124626
Twins,16,1.2187557145270795,1.7907960967465664,-0.6316550973907813,0.0016247375932549324,-0.1544568642704247,0.06705106293494745,1,0,15,-0.7587528067930964,2.0919277531584566,2.0919277531584566,0.31360854057464854,0.25260280688204517,-3.802959824101574,2.6020839852565274,0.5443704514794905
all,96,1.8652982438303207,6.693018611041604,4.577363442961546,58.627218129855,0.0,1.14632996960789,34,0,62,5.081398390017733,0.864001360830358,0.864001360830358,0.11149332160632237,0.07011999560341943,6.052115534271182,-0.790625357734367,-0.10035642634172043
