method,setting_methods,mean_rho,mean_selected_gain_pct,mean_weighted_residual_reduction_pct,mean_weighted_residual_square_delta,median_weighted_residual_reduction_pct,median_selected_gain_pct,wins,losses,crosses_zero,ols_intercept_gain_pct,ols_slope_gain_pct_per_rho,nonnegative_slope_gain_pct_per_rho,pearson_r,spearman_r,ols_intercept_weighted_residual_reduction_pct,ols_slope_weighted_residual_reduction_pct_per_rho,pearson_r_weighted_residual_reduction
aipw,24,3.1668232923546307,8.949097478919489,3.6533262835569515,35.992740798143736,-0.3058325339667878,3.036121036440681,11,0,13,12.873882301272875,-1.2393444344774858,0.0,-0.09603175647157582,-0.13565217391304346,10.912206517859373,-2.2921645965617534,-0.2411540878769478
all,96,1.8652982438303207,6.693018611041604,4.577363442961546,58.627218129855,0.0,1.14632996960789,34,0,62,5.081398390017733,0.864001360830358,0.864001360830358,0.11149332160632237,0.07011999560341943,6.052115534271182,-0.790625357734367,-0.10035642634172043
ctmle,24,0.4459008963536342,4.9794134914936405,6.036774474701539,49.66572936306249,0.0,0.0,8,0,16,53.791212176282315,-109.46781915880491,0.0,-0.7284141304866076,-0.8057985755310293,64.71743670018436,-131.60023383075787,-0.7084271265573109
cui_selective_ml,24,0.681645494258388,5.185935143857184,4.966026730030742,112.85766156007004,-0.021644026384315396,0.9593805055791493,8,0,16,-4.615814467708988,14.379541409908695,14.379541409908695,0.6369988957794026,0.25304347826086954,-1.4800376839992402,9.456622934246967,0.2620630243672169
ma_dr_bc,24,3.1668232923546307,7.657628329896102,3.6533262835569515,35.992740798143736,-0.3058325339667878,0.9338401612705938,7,0,17,20.16014816627047,-3.9479688893782097,0.0,-0.24207954658063036,-0.2669565217391304,10.912206517859373,-2.2921645965617534,-0.2411540878769478
