response_bin,response_bin_label,setting_bins,mean_n_share,mean_true_pi,mean_rho,mean_action_square_contribution,mean_weighted_action_square_contribution,mean_absolute_action_contribution,mean_weighted_residual_square_delta,mean_weighted_residual_reduction_pct,median_weighted_residual_square_delta,positive_delta,negative_delta,zero_delta,mean_unweighted_residual_square_delta,share_of_mean_weighted_residual_delta,share_of_mean_action_square,share_of_mean_weighted_action_square,share_of_mean_absolute_action
1,lowest_response,96,0.25,0.24465352587270076,1.8652982438303207,6.9109530836092254,47.287065234429015,0.3971058752992631,54.022365484682446,4.731972137332717,0.0,37,44,15,6.0862946085001886,0.9214553787121001,0.42165771639995997,0.8537475680876712,0.33349604771650915
2,response_bin_2,96,0.25,0.6271361094776274,1.8652982438303207,3.4898225187585417,5.358049786429376,0.27910721563236335,3.3223625770634357,3.4309515112533977,-2.6039654827583053e-06,33,48,15,2.1307123574334748,0.05666928575230443,0.2129244079793971,0.09673727798878448,0.234398831879296
3,response_bin_3,96,0.25,0.7312892296760087,1.8652982438303207,2.7667151013025495,1.960138595401876,0.24866605549532728,0.9517542577495139,2.7323911369486553,-6.467908581218309e-06,33,48,15,1.308875861169309,0.016233999976622594,0.16880548275047177,0.03538945694013405,0.2088338447434189
4,highest_response,96,0.25,0.8430994262136471,1.8652982438303207,3.222469244445271,0.7823890570282784,0.26585722966595265,0.3307358103596069,2.707414749681435,-2.364485988108969e-05,31,50,15,1.612522885521632,0.0056413355589728185,0.19661239287017107,0.014125696983410279,0.22327127566077593
