source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,correction_tau,cui_selected_propensity_learner,rho,rho2,p_rmse,mean_abs_kappa,p_floor_share,ref_weighted_residual_square,selected_weighted_residual_square,weighted_residual_square_reduction,ref_unweighted_residual_square,selected_unweighted_residual_square,unweighted_residual_square_reduction,replay_selected_tau,replay_selected_gamma,selected_tau_matches,selected_gamma_matches,ref_error,selected_error,c2_error,selected_gamma,c2_weight
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,1,0.05,0.05,,4.74538044782782,22.518635594626563,0.24590796226367848,0.6927602331228737,0.11733333333333333,1.566877751665145,1.566877751665145,0.0,0.5085655861829705,0.5085655861829705,0.0,0.05,0.0,True,True,0.019604722243780064,0.019604722243780064,0.019604722243780064,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,2,0.05,0.05,,4.143020742611181,17.164620873706507,0.24311081377807683,0.6919966909200822,0.104,1.6320154784595886,1.6320154784595886,0.0,0.5643365601769508,0.5643365601769508,0.0,0.05,0.0,True,True,-0.013116922510592537,-0.013116922510592537,-0.013116922510592537,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,3,0.05,0.05,,3.823837794919632,14.621735481855833,0.23799694484983405,0.6094281407813434,0.112,1.7391878109228274,1.7391878109228274,0.0,0.5688982795450882,0.5688982795450882,0.0,0.05,0.0,True,True,-0.03446753311632705,-0.03446753311632705,-0.03446753311632705,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029700000,4,0.05,0.05,,3.799442066154721,14.435760014066055,0.23427052599528966,0.5937126183011003,0.11866666666666667,1.8842510305086884,1.8842510305086884,0.0,0.5541469938089686,0.5541469938089686,0.0,0.05,0.0,True,True,-0.023983442721821926,-0.023983442721821926,-0.023983442721821926,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,1,0.05,0.05,,4.269017254268203,18.22450831723962,0.2422235375700585,0.6652519556968798,0.11266666666666666,1.5648832409723612,1.5648832409723612,0.0,0.5374415899478348,0.5374415899478348,0.0,0.05,0.0,True,True,-0.05954160031170023,-0.05954160031170023,-0.05954160031170023,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,2,0.05,0.05,,4.191069115095739,17.56506032750938,0.23539548990350617,0.6294749031365714,0.11733333333333333,1.5165394227745135,1.5165394227745135,0.0,0.54854146943405,0.54854146943405,0.0,0.05,0.0,True,True,-0.0041056802791137725,-0.0041056802791137725,-0.0041056802791137725,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,3,0.05,0.05,,4.471283943201561,19.9923801007321,0.24078138347345573,0.6828214535137698,0.115,1.7402507858832001,1.7402507858832001,0.0,0.5610245499287487,0.5610245499287487,0.0,0.05,0.0,True,True,-0.06444771589634003,-0.06444771589634003,-0.06444771589634003,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029800000,4,0.05,0.05,,3.9911344431907914,15.929154143623867,0.23573205409448167,0.6133082973419566,0.10533333333333333,1.1673475541998177,1.1673475541998177,0.0,0.504356870557119,0.504356870557119,0.0,0.05,0.0,True,True,0.022650674124142903,0.022650674124142903,0.022650674124142903,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029900000,1,0.05,0.05,,4.134629055941955,17.095157430239464,0.2325012398222632,0.6202986059625224,0.112,1.4716248981615838,1.4716248981615838,0.0,0.5313384538983968,0.5313384538983968,0.0,0.05,0.0,True,True,0.08975353886888357,0.08975353886888357,0.08975353886888357,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2029900000,2,0.05,0.05,,4.090486094198515,16.73207648683142,0.2413019453893576,0.6719774254841461,0.11066666666666666,1.4810723047532968,1.5961244025475705,-0.07768162123147526,0.508974973609501,0.556352003368326,-0.09308322062053676,0.05,0.25,True,True,-0.11747678212867038,-0.13671251733809123,-0.13671251733809123,0.25,1.0
