block,panel,dataset,method,method_label,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_activation,mean_harm_rate,equal_cell_gross_harm_mse,equal_cell_gross_benefit_mse
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,0,4,0.0031715922317693546,-1.889286830922404e-05,0.0077076212007405982,0.015625,0.0026041666666666665,0.00026486221840993981,0.0034364544501793467
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,1,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,2,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,3,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,4,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,5,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,6,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,8,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),0,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),1,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),2,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),3,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),4,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),5,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),6,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),8,4,0,0,0,0,0,0,0
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,0,3,0.058048006403637463,0.04470690238359127,0.073376003513688948,0.2986111111111111,0,0,0.058048006403637435
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,1,3,0.019330812033131584,0.010087505789151158,0.030122940588870363,0.097222222222222224,0,0,0.019330812033131545
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,2,3,0.013033987486735787,0.0055688068917647713,0.022633576719427548,0.062500000000000014,0,0,0.01303398748673576
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,3,3,0.010024459867923255,0.0032561037542293727,0.018530517812629779,0.03125,0,0,0.010024459867923212
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,4,3,0.0083960501614967677,0.002308202233103566,0.016166666524713925,0.03125,0,0,0.00839605016149674
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,5,3,0.0070034049295013929,0.0015054500649291627,0.01422002609222619,0.020833333333333332,0,0,0.0070034049295013973
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,6,3,0.0061046102956511987,0.0011032016451112975,0.012683876587096228,0.020833333333333332,0,0,0.0061046102956512109
emphasized,d0_ctmle,aligned anchor,ctmle,C-TMLE,8,3,0.0045377980579723127,0.00050818702440123549,0.0099459371369113626,0.017361111111111108,0,0,0.0045377980579723179
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,0,3,0.040482780315771162,0.0097916501639907418,0.070342328521769915,0.56597222222222221,0.22569444444444442,0.044197008557951188,0.084679788873722336
