source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_gamma,ref_error,selected_error,mse_gain,n_eval,eta,delta_inf,rho2,q0,qg,G_xi,E_xi_m0,E_xi_mg,D_xi_gamma,bias0,biasg,bias0_sq,biasg_sq,A0,Ag,variance_reduction,B_global,B_local,B_min,variance_bound_rhs,variance_bound_slack,variance_bound_violation,variance_certifies_improvement,bias_abs_bound,bias_path_bound,bias_min_bound,bias_abs_slack,bias_path_slack,bias_min_slack,bias_bound_violation,bias_abs_term_tighter,bias_path_term_tighter
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029700000,1,0.0,0.013240903622853668,0.013240903622853668,0.0,3000.0,0.00030803680419921875,0.9429012656211853,3.6546816792148724,15.441713958187982,15.441713958187982,0.0,5.330893149130519,5.330893149130519,0.0,-0.039323851271756964,-0.039323851271756964,0.0015463652788432617,0.0015463652788432617,0.005925663530961938,0.005925663530961938,0.0,19653154.114933267,0.0,0.0,0.005925663530961938,0.0,0.0,0.0,19.482717525979385,0.0015463652788432617,0.0015463652788432617,19.48117116070054,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029700000,2,0.0,-0.019523285702921108,-0.019523285702921108,0.0,3000.0,0.000942528247833252,0.9253923416137695,2.8143856292424716,13.858159606568845,13.858159606568845,0.0,4.364322357345199,4.364322357345199,0.0,-0.02371781995036208,-0.02371781995036208,0.0005625349831977934,0.0005625349831977934,0.00546254972083081,0.00546254972083081,0.0,2270625.151195834,0.0,0.0,0.00546254972083081,0.0,0.0,0.0,12.282886123893956,0.0005625349831977934,0.0005625349831977934,12.282323588910758,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029700000,3,0.0,-0.024529188401348687,-0.024529188401348687,0.0,3000.0,0.0011823773384094238,0.9395601272583007,3.684510915256199,12.019335882806226,12.019335882806226,0.0,3.82870699751919,3.82870699751919,0.0,0.012280666550386784,0.012280666550386784,0.00015081477092178882,0.00015081477092178882,0.004800412330700709,0.004800412330700709,0.0,1489030.1277270522,0.0,0.0,0.004800412330700709,0.0,0.0,0.0,14.106912723677244,0.00015081477092178882,0.00015081477092178882,14.106761908906321,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029700000,4,0.0,-0.019033640201622428,-0.019033640201622428,0.0,3000.0,0.0005678534507751465,0.9457102537155151,5.095833323355668,11.635191066038702,11.635191066038702,0.0,3.5946329432421407,3.5946329432421407,0.0,-0.012012683502204004,-0.012012683502204004,0.00014430456492412424,0.00014430456492412424,0.004678192807768936,0.004678192807768936,0.0,6340832.279680281,0.0,0.0,0.004678192807768936,0.0,0.0,0.0,18.317650337405365,0.00014430456492412424,0.00014430456492412424,18.31750603284044,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029800000,1,0.0,-0.023238055704036996,-0.023238055704036996,0.0,3000.0,0.0005115270614624023,0.9385545372962951,3.254555622274643,12.676797469797602,12.676797469797602,0.0,3.538567037189518,3.538567037189518,0.0,-0.001288509386659836,-0.001288509386659836,1.6602564395105068e-06,1.6602564395105068e-06,0.00500842297682176,0.00500842297682176,0.0,7513600.755863789,0.0,0.0,0.00500842297682176,0.0,0.0,0.0,11.516463245680871,1.6602564395105068e-06,1.6602564395105068e-06,11.516461585424432,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029800000,2,0.0,-0.01144865107000532,-0.01144865107000532,0.0,3000.0,0.00016927719116210938,0.9258254289627075,2.5762032611154617,12.671037730370163,12.671037730370163,0.0,3.78304702515032,3.78304702515032,0.0,-0.029087160124896656,-0.029087160124896656,0.0008460628841313781,0.0008460628841313781,0.005030973083413887,0.005030973083413887,0.0,68287545.88172635,0.0,0.0,0.005030973083413887,0.0,0.0,0.0,9.7458980831454,0.0008460628841313781,0.0008460628841313781,9.74505202026127,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029800000,3,0.0,-0.05455343405197749,-0.05455343405197749,0.0,3000.0,0.0006292462348937988,0.9300164699554443,2.4080928971732405,13.41778721274605,13.41778721274605,0.0,3.875967876027593,3.875967876027593,0.0,-0.023759072591631708,-0.023759072591631708,0.0005644935304144251,0.0005644935304144251,0.0052236482554177495,0.0052236482554177495,0.0,5097750.263218651,0.0,0.0,0.0052236482554177495,0.0,0.0,0.0,9.333690711933697,0.0005644935304144251,0.0005644935304144251,9.333126218403283,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029800000,4,0.0,0.008119795694640988,0.008119795694640988,0.0,3000.0,0.00037741661071777344,0.9213320136070251,2.4893909034983883,12.292900221961736,12.292900221961736,0.0,3.9910709910822746,3.9910709910822746,0.0,0.014166073903569902,0.014166073903569902,0.0002006776498414042,0.0002006776498414042,0.004895843529774136,0.004895843529774136,0.0,12557067.076589266,0.0,0.0,0.004895843529774136,0.0,0.0,0.0,9.935335820416512,0.0002006776498414042,0.0002006776498414042,9.93513514276667,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029900000,1,0.0,0.03562658418775783,0.03562658418775783,0.0,3000.0,0.0008598566055297852,0.9423834204673767,3.797638414875277,13.059510599587108,13.059510599587108,0.0,4.389427748245872,4.389427748245872,0.0,-0.07013788265865695,-0.07013788265865695,0.004919322583839531,0.004919322583839531,0.005157939568569646,0.005157939568569646,0.0,2660353.782568954,0.0,0.0,0.005157939568569646,0.0,0.0,0.0,16.66945943605801,0.004919322583839531,0.004919322583839531,16.66454011347417,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,tmle,3000,0.0,2029900000,2,0.0,-0.05281393859735268,-0.05281393859735268,0.0,3000.0,0.0004273056983947754,0.91502286195755,2.749799588476603,14.128061501059511,14.128061501059511,0.0,4.978915299621242,4.978915299621242,0.0,0.09907078284861226,0.09907078284861226,0.009815020014236885,0.009815020014236885,0.005525293160107101,0.005525293160107101,0.0,9969279.133100966,0.0,0.0,0.005525293160107101,0.0,0.0,0.0,13.691019241958355,0.009815020014236885,0.009815020014236885,13.681204221944117,0.0,0.0,0.0,0.0,1.0
