method,family,cells,reps_per_cell_min,reps_per_cell_max,equal_cell_relative_mse_reduction,ci_lo,ci_hi
aipw,kang_schafer,8,96,96,0.015434375003652995,0.0027987629639554153,0.030435550770243971
tmle,kang_schafer,8,96,96,-0.048972136390087379,-0.12129397242982722,0.004253803939097198
