method,rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
aipw,2304,0.2738715277777778,25.52496689429799,17.102863011152365,8.422103883145624,0.2939527457078282,0.0,5.077647033962693,0.10069444444444445,0.050347222222222224,0.3676703645007924,0.1838351822503962
ctmle,2304,0.265625,9.637274243258942,9.276150468196118,0.3611237750628238,-0.04257629522358099,0.0,1.30861249637194,0.08506944444444445,0.03342013888888889,0.3202614379084967,0.12581699346405228
cui_selective_ml,2304,0.3524305555555556,17.073237183769184,18.72946076729295,-1.656223583523765,257054.86616992817,0.0,1.1390726026653122,0.1449652777777778,0.0681423611111111,0.41133004926108374,0.1933497536945813
ma_dr_bc,2304,0.2738715277777778,12.950581871635471,17.102863011152365,-4.152281139516894,2.2888374011916834,0.0,5.842851463591933,0.1015625,0.050347222222222224,0.36450079239302696,0.1838351822503962
tmle,2304,0.24739583333333334,-21.372084497386307,7.240400324989643,-28.61248482237595,1.6590296401159796,0.0,2.7157819942581307,0.12977430555555555,0.05381944444444445,0.5245614035087719,0.21754385964912282
