dataset,rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
ACIC 2016,1920,0.10364583333333334,0.5313706412563335,0.041666945188463575,0.4897036960678699,-1.1581176605312947e-05,0.0,7.115655220798654e-06,0.050520833333333334,0.03854166666666667,0.48743718592964824,0.37185929648241206
ACIC 2017,1920,0.103125,0.8718119726156266,0.5928303025631263,0.2789816700525003,-1.875215550563781e-05,0.0,9.66827066392487e-06,0.04114583333333333,0.0359375,0.398989898989899,0.3484848484848485
IHDP,1920,0.09739583333333333,2.4865411743437593,1.3444890795555633,1.142052094788196,-8.206415776550713e-05,0.0,0.0,0.034375,0.0375,0.35294117647058826,0.3850267379679144
Kang-Schafer,3840,0.6325520833333333,15.831157936889165,18.729559398375155,-2.8984014614859905,154237.1865993331,0.0,17.271911728895162,0.24895833333333334,0.07786458333333333,0.3919308357348703,0.123095924248662
Twins,1920,0.1265625,3.501372726187345,-44.60725117961195,48.10862390579929,-3.4945901647666844,0.0,8.954629553763982e-05,0.050520833333333334,0.03958333333333333,0.3991769547325103,0.31275720164609055
