dataset,method,rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
ACIC 2016,aipw,384,0.08854166666666667,0.940972460843927,0.33505058297931717,0.6059218778646098,-3.1446049153841665e-05,0.0,0.0,0.0390625,0.041666666666666664,0.4411764705882353,0.47058823529411764
ACIC 2016,ctmle,384,0.005208333333333333,0.07113441542999605,0.0858842085840264,-0.014749793154030355,4.5555165219079177e-07,0.0,0.0,0.0026041666666666665,0.0026041666666666665,0.5,0.5
ACIC 2016,cui_selective_ml,384,0.2734375,0.9454827729549982,0.022877862083843806,0.9226049108711544,2.3081421442974558e-05,0.0,0.00020327550608851668,0.13802083333333334,0.078125,0.5047619047619047,0.2857142857142857
ACIC 2016,ma_dr_bc,384,0.08854166666666667,0.6483382233295172,0.33505058297931717,0.3132876403502,-7.908785407611221e-05,0.0,0.0,0.033854166666666664,0.041666666666666664,0.38235294117647056,0.47058823529411764
ACIC 2016,tmle,384,0.0625,-0.4685177809321221,0.1298111604007012,-0.5983289413328233,2.9091047108223802e-05,0.0,0.0,0.0390625,0.028645833333333332,0.625,0.4583333333333333
ACIC 2017,aipw,384,0.09375,1.7705770495238518,0.5610337041751817,1.2095433453486701,-5.1025096357945643e-05,0.0,0.0,0.033854166666666664,0.03125,0.3611111111111111,0.3333333333333333
ACIC 2017,ctmle,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACIC 2017,cui_selective_ml,384,0.2604166666666667,1.4221826003667737,1.980803781615536,-0.5586211812487623,2.9980600512637688e-05,0.0,0.0002693045222350284,0.109375,0.0859375,0.42,0.33
ACIC 2017,ma_dr_bc,384,0.09375,0.5838481484041621,0.5610337041751817,0.02281444422898038,-4.9249121715843935e-05,0.0,0.0,0.044270833333333336,0.03125,0.4722222222222222,0.3333333333333333
ACIC 2017,tmle,384,0.06770833333333333,1.2449580559513858,0.2111419535471661,1.0338161024042196,-2.346715996703715e-05,0.0,0.0,0.018229166666666668,0.03125,0.2692307692307692,0.46153846153846156
IHDP,aipw,384,0.15104166666666666,3.7883505825261894,1.3467405307669573,2.4416100517592323,-9.244417262415157e-05,0.0,0.00038198241791564296,0.046875,0.0625,0.3103448275862069,0.41379310344827586
IHDP,ctmle,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
IHDP,cui_selective_ml,384,0.046875,0.5402192794198488,0.9294520520662092,-0.38923277264636036,1.71009121354227e-05,0.0,0.0,0.020833333333333332,0.015625,0.4444444444444444,0.3333333333333333
IHDP,ma_dr_bc,384,0.15104166666666666,3.3459083709415496,1.3467405307669573,1.9991678401745923,-0.00038775614217937386,0.0,0.000825090540617507,0.057291666666666664,0.0625,0.3793103448275862,0.41379310344827586
IHDP,tmle,384,0.13802083333333334,3.152042932396697,2.625773966443728,0.5262689659529691,5.277861384056712e-05,0.0,0.00035528462377282797,0.046875,0.046875,0.33962264150943394,0.33962264150943394
Kang-Schafer,aipw,768,0.6432291666666666,25.530536103199555,17.10576381444147,8.424772288758085,0.8819519858986947,0.0,34.65349717784062,0.23697916666666666,0.07552083333333333,0.3684210526315789,0.11740890688259109
Kang-Schafer,ctmle,768,0.7942708333333334,9.64670006785115,9.28623727352296,0.36046279432818906,-0.12772911344656904,0.0,3.7411129728022328,0.25390625,0.09895833333333333,0.319672131147541,0.12459016393442623
Kang-Schafer,cui_selective_ml,768,0.4830729166666667,17.089009352726013,18.72976260819916,-1.6407532554731468,771173.3349391619,0.0,6.766733606092991,0.18880208333333334,0.037760416666666664,0.3908355795148248,0.07816711590296496
Kang-Schafer,ma_dr_bc,768,0.6432291666666666,12.962523053105137,17.10576381444147,-4.143240761336333,6.86677950017998,0.0,41.552350346332815,0.23307291666666666,0.07552083333333333,0.354251012145749,0.11740890688259109
Kang-Schafer,tmle,768,0.5989583333333334,-21.393395400441992,7.242214747886018,-28.63561014832801,4.97705513094986,0.0,19.337891979594488,0.33203125,0.1015625,0.5543478260869565,0.16956521739130434
Twins,aipw,384,0.0234375,0.34512677791563345,-0.0002438424053599593,0.3453706203209934,-1.2582232284179536e-05,0.0,0.0,0.010416666666666666,0.015625,0.4444444444444444,0.6666666666666666
Twins,ctmle,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Twins,cui_selective_ml,384,0.5677083333333334,16.50933862333832,-44.627081027214665,61.13641965055298,-17.472928917804424,0.0,0.00137981358035031,0.22395833333333334,0.15364583333333334,0.3944954128440367,0.2706422018348624
Twins,ma_dr_bc,384,0.0234375,0.0972136605950971,-0.0002438424053599593,0.09745750300045707,-1.8500091889394096e-05,0.0,0.0,0.0078125,0.015625,0.3333333333333333,0.6666666666666666
Twins,tmle,384,0.018229166666666668,-0.28680756755968484,0.008189214860187276,-0.2949967824198721,9.176295177076048e-06,0.0,0.0,0.010416666666666666,0.013020833333333334,0.5714285714285714,0.7142857142857143
