scope,rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
primary,9216,0.2914496527777778,18.741083652586735,18.729393887598725,0.011689764988009443,64264.35159594496,0.0,2.407433664975134,0.10807291666666667,0.05056423611111111,0.36932241250930753,0.1734921816827997
fixed_floor_tmle,2304,0.24739583333333334,-21.372084497386307,7.240400324989643,-28.61248482237595,1.6590296401159796,0.0,2.7157819942581307,0.12977430555555555,0.05381944444444445,0.5245614035087719,0.21754385964912282
all,11520,0.2826388888888889,15.821298303204768,18.72925737878403,-2.907959075579262,51411.813082683984,0.0,2.4563697598872043,0.11241319444444445,0.051215277777777776,0.3964987714987715,0.18120393120393122
